순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,6048111797,주식회사글로벌엔씨  [최종낙찰],송철현,분석,70618990,87.748,89.256,1.72280 (101.7228),3 13,2018/12/18 16:55:03,
2,2098134940,주식회사윤송이엔씨,정윤계,분석,70632590,87.765,89.273,1.74239 (101.74239),11 13,2018/12/19 08:22:32,
3,1138618396,(주)아이씨엔캐스트,최안철,분석,70652725,87.79,89.299,1.77140 (101.7714),5 3,2018/12/19 09:47:20,
4,1148633857,에스엠이엔지(주),이관휴,분석,70992744,88.213,89.729,2.26117 (102.26117),1 13,2018/12/19 08:43:41,
5,1068603240,태경이엘피 주식회사,김평석,분석,71017929,88.244,89.76,2.29745 (102.29745),14 12,2018/12/19 15:38:39,
6,2048162437,다남전기(주),이병근,분석,71025000,88.253,89.769,2.30764 (102.30764),2 3,2018/12/20 08:27:24,
7,7188100420,주식회사 오투정보통신,양성윤,분석,78500000,97.541,99.217,13.07497 (113.07497),7 9,2018/12/18 16:51:54,
-1,1108155460,주식회사 자유전설,김상중,분석,70590940,87.713,89.221,1.68240 (101.6824),2 8,2018/12/19 21:51:14,낙찰하한선 미달
-2,1138636865,주식회사 정원시큐,염승호,분석,70532694,87.641,89.147,1.59850 (101.5985),4 9,2018/12/19 10:07:29,낙찰하한선 미달
-3,2148122316,금송전기(주),신중현,분석,70530700,87.638,89.145,1.59562 (101.59562),12 9,2018/12/18 11:32:03,낙찰하한선 미달
-4,1268620622,(주)엑스코하이텍,박정현,분석,70514575,87.618,89.124,1.57240 (101.5724),13 6,2018/12/19 17:51:54,낙찰하한선 미달
-5,1198632979,성민전기 주식회사,김미영,분석,70485900,87.583,89.088,1.53109 (101.53109),14 3,2018/12/19 23:52:29,낙찰하한선 미달
-6,2018603701,소성정보기술 (주),김금남,분석,70478414,87.573,89.078,1.52031 (101.52031),1 5,2018/12/18 14:27:47,낙찰하한선 미달
-7,2028136990,(주)무궁화전자,이효형,분석,70475680,87.57,89.075,1.51637 (101.51637),14 11,2018/12/19 13:39:07,낙찰하한선 미달
