순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1098166803,(주)아이앤씨파트너스  [최종낙찰],곽준철,분석,431155576,75.0,87.745,87.55,-1.08161 (98.91839),15 14,2022/11/08 09:37:44,
2,2178141893,주식회사대웅텔레콤,전진숙,분석,431161620,75.0,87.746,87.552,-1.08021 (98.91979),6 9,2022/11/07 10:48:18,
3,4188155516,아이피119정보통신 주식회사,김영수,분석,431218665,75.2,87.758,87.563,-1.06700 (98.933),14 11,2022/11/07 09:43:15,
4,2058140076,(주)제일첨단테크,김성수,분석,431222554,75.2,87.759,87.564,-1.06610 (98.9339),4 1,2022/11/08 09:28:53,
5,8058600302,주식회사 케이엔엑스정보통신,홍지연,분석,431235517,75.2,87.762,87.567,-1.06311 (98.93689),8 12,2022/11/07 12:09:21,
6,1138683368,주식회사 에스엠시스템즈,이승환,분석,431249994,75.4,87.765,87.57,-1.05975 (98.94025),2 11,2022/11/04 10:57:53,
7,1148726111,티비엠테크주식회사,김치연,분석,431254500,75.4,87.766,87.57,-1.05871 (98.94129),8 1,2022/11/07 00:22:26,
8,1118114477,주식회사 대흥데이타통신,박상영,분석,431255395,75.4,87.766,87.571,-1.05850 (98.9415),3 15,2022/11/04 13:14:39,
9,1098647062,주식회사 조아정보통신,박민응,분석,431292124,75.6,87.775,87.578,-1.05000 (98.95),9 15,2022/11/04 13:54:22,
10,2158768879,주식회사 에이치씨인포,김경운,분석,431294600,75.6,87.775,87.579,-1.04943 (98.95057),3 10,2022/11/07 05:19:14,
11,1058683498,주식회사 일동전력,오정미,분석,431331879,75.6,87.783,87.586,-1.04080 (98.9592),13 7,2022/11/06 23:25:15,
12,3238801633,동부엔텍 주식회사,류광성,분석,431334470,75.6,87.784,87.587,-1.04021 (98.95979),8 5,2022/11/08 09:03:51,
13,1078675432,(주)비젼엔텍,김종윤,분석,431350027,75.8,87.787,87.59,-1.03660 (98.9634),13 5,2022/11/04 10:10:35,
14,1128139637,(주)씨엘에이에스,윤호중,분석,431393238,76.0,87.797,87.599,-1.02660 (98.9734),4 9,2022/11/07 08:31:58,
