순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
44,1078154150,주식회사 케이원,송관섭,분석,60971483,85.0,89.667,89.981,-0.2417 (99.7583),13 6,2022/09/28 13:02:01,
45,1018126108,(주)일능,심금자,분석,60972827,85.0,89.669,89.983,-0.2395 (99.7605),12 6,2022/09/27 16:51:51,
46,1108175113,이에스콘트롤스 (주),김영준,분석,60974049,85.0,89.671,89.985,-0.2375 (99.7625),13 6,2022/09/27 11:09:02,
47,2208605262,주식회사 트리엠,김동수,분석,60976670,85.0,89.675,89.989,-0.2333 (99.7667),11 9,2022/09/28 13:46:18,
48,2178125840,(주)에이디엠,정채옥,분석,60977350,85.0,89.676,89.99,-0.2321 (99.7679),10 7,2022/09/29 16:01:08,
49,1138618417,(주)씨에스플러스,장준영,분석,60978930,85.0,89.678,89.992,-0.2296 (99.7704),1 15,2022/09/28 09:42:15,
50,3628700817,씨큐리티 주식회사,공승길,분석,60979873,85.0,89.68,89.993,-0.2280 (99.772),9 14,2022/09/27 15:46:26,
51,2158189983,주식회사아이티벨리,김기운,분석,60982790,85.0,89.684,89.998,-0.2232 (99.7768),1 3,2022/09/30 09:11:16,
52,8018600805,세인트로그 주식회사,김세연,분석,60982882,85.0,89.684,89.998,-0.2231 (99.7769),2 1,2022/09/27 22:49:32,
53,1408169475,주식회사 제이앤제이파워스,박재옥,분석,60982900,85.0,89.684,89.998,-0.2231 (99.7769),1 13,2022/09/29 09:14:46,
54,2108157604,주식회사 유니원이엔지,민수지,분석,60984500,85.0,89.687,90.0,-0.2204 (99.7796),6 3,2022/09/29 10:16:37,
55,7998800243,주식회사 비티엘정보통신,최성진,분석,60986334,85.0,89.69,90.003,-0.2174 (99.7826),15 4,2022/09/28 09:36:55,
56,2138634018,(주)비트정보통신,송재화,분석,60990730,85.0,89.697,90.009,-0.2103 (99.7897),8 13,2022/09/29 09:53:38,
