순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1298155066,일조텔레콤(주)  [최종낙찰],김문섭,분석,191716900,85.0,87.745,88.024,-0.57531 (99.42469),7 3,2022/02/09 14:20:30,
2,2048119395,(주)신해전기건설,이세윤,분석,191718250,85.0,87.746,88.024,-0.57460 (99.4254),7 15,2022/02/10 09:27:57,
3,1108155460,주식회사 자유전설,김상중,분석,191724360,85.0,87.749,88.027,-0.57140 (99.4286),6 2,2022/02/10 08:13:03,
4,1148190678,주식회사 에드원,김춘걸,분석,191730480,85.0,87.752,88.03,-0.56820 (99.4318),10 5,2022/02/08 16:36:37,
5,1128148285,(주)백제이앤씨,손흥도,분석,191736267,85.0,87.754,88.033,-0.56517 (99.43483),8 10,2022/02/09 08:18:15,
6,2018633767,주식회사 명진에스앤씨,이성훈,분석,191736770,85.2,87.755,88.033,-0.56491 (99.43509),14 11,2022/02/08 15:50:06,
7,1148676763,유토피아정보기술(주),안종섭,분석,191738100,85.2,87.755,88.034,-0.56421 (99.43579),11 14,2022/02/09 07:50:42,
8,1578700724,주식회사 자비스넷,박주영,분석,191739450,85.2,87.756,88.034,-0.56351 (99.43649),9 6,2022/02/09 16:13:54,
9,1018663767,비케이전기통신 주식회사,유봉근,분석,191743850,85.2,87.758,88.036,-0.56120 (99.4388),6 1,2022/02/08 15:28:14,
10,1068669669,(주)일광통신,이병일,분석,191746220,85.2,87.759,88.037,-0.55996 (99.44004),13 4,2022/02/09 13:49:50,
11,1288141176,주식회사 와이씨스템,장영찬,분석,191750347,85.2,87.761,88.039,-0.55780 (99.4422),4 9,2022/02/09 09:50:17,
12,1088155278,금하개발(주),김채모,분석,191751895,85.2,87.762,88.04,-0.55699 (99.44301),12 4,2022/02/09 16:23:01,
13,1078197085,(주)코어넷,소흥섭,분석,191755320,85.2,87.764,88.041,-0.55520 (99.4448),11 4,2022/02/08 17:25:22,
14,2158192566,(주)열림정보기술,고동민,분석,191755508,85.2,87.764,88.042,-0.55510 (99.4449),10 13,2022/02/09 20:32:14,
15,2200459632,하나정보통신,현광섭,분석,191764871,85.4,87.769,88.046,-0.55021 (99.44979),8 4,2022/02/09 09:47:30,
16,2148736980,(주)인타임정보,노영두,분석,191767540,85.4,87.77,88.047,-0.54881 (99.45119),5 2,2022/02/09 10:40:37,
17,1058739024,주식회사케파스,주성돈,분석,191768120,85.4,87.77,88.047,-0.54851 (99.45149),3 4,2022/02/10 08:52:37,
18,2158602337,지엔네텔(주),고시영,분석,191768462,85.4,87.77,88.047,-0.54833 (99.45167),4 14,2022/02/10 12:37:39,
19,1088165228,(주)콤텍피엔씨,송기영,분석,191774430,85.4,87.773,88.05,-0.54520 (99.4548),5 9,2022/02/10 09:55:07,
20,2128169519,세진시스콤주식회사,박수환,분석,191775580,85.4,87.774,88.051,-0.54460 (99.4554),14 2,2022/02/09 09:04:34,
21,2148768992,주식회사 앤샵,장진화,분석,191776150,85.4,87.774,88.051,-0.54430 (99.4557),8 12,2022/02/09 09:14:15,
22,1298137942,주식회사 자이온티앤에스,예용기,분석,191781307,85.6,87.777,88.053,-0.54160 (99.4584),10 13,2022/02/09 09:30:05,
23,2058126341,종합전기 주식회사,김유훈,분석,191783601,85.6,87.778,88.054,-0.54040 (99.4596),11 6,2022/02/09 08:56:25,
24,1068644033,(주)코맥스디에스씨,안병호,분석,191784746,85.6,87.778,88.055,-0.53981 (99.46019),3 4,2022/02/09 09:56:17,
25,1408169475,주식회사 제이앤제이파워스,박재옥,분석,191784900,85.6,87.778,88.055,-0.53972 (99.46028),5 8,2022/02/09 15:57:06,
26,2048610496,주식회사 김스애드,김진희,분석,191790671,85.6,87.781,88.058,-0.53670 (99.4633),12 1,2022/02/09 14:18:24,
27,2048652666,주식회사 동연아이비에스,서동주,분석,191791626,85.6,87.782,88.058,-0.53621 (99.46379),11 15,2022/02/09 08:53:57,
28,1108177407,시큐에스주식회사,정재량,분석,191791630,85.6,87.782,88.058,-0.53620 (99.4638),1 3,2022/02/09 09:36:30,
29,1068619761,(주) 한걸음정보통신,정진원,분석,191793350,85.6,87.783,88.059,-0.53530 (99.4647),7 10,2022/02/08 15:58:45,
30,1108139892,(주)이화텔레콤,윤영배,분석,191795850,85.6,87.784,88.06,-0.53399 (99.46601),15 14,2022/02/10 13:30:23,
31,2018603701,소성정보기술 주식회사,김금남,분석,191810114,85.8,87.791,88.067,-0.52653 (99.47347),8 14,2022/02/08 17:39:47,
32,1138629419,(주)에스이든,하태정,분석,191810160,85.8,87.791,88.067,-0.52651 (99.47349),14 15,2022/02/09 18:18:02,
33,7108601231,(주)조은코디스,백종일,분석,191812650,85.8,87.792,88.068,-0.52520 (99.4748),5 9,2022/02/10 09:20:04,
34,2048190516,주식회사동훈전설,정준모,분석,191827360,86.0,87.799,88.075,-0.51751 (99.48249),2 9,2022/02/09 10:55:01,
35,2066762193,보성통신,문용권,분석,191831380,86.0,87.801,88.076,-0.51540 (99.4846),10 5,2022/02/08 14:21:10,
36,2068213088,사단법인장애인동반성장협회,정영석,분석,191842467,86.2,87.807,88.081,-0.50960 (99.4904),12 3,2022/02/10 10:18:41,
37,1078143707,(주)신창전기,홍성수,분석,191846533,86.2,87.809,88.083,-0.50747 (99.49253),10 6,2022/02/10 09:23:34,
38,1328105709,(주)왕선전설,조정현,분석,191849724,86.2,87.81,88.085,-0.50580 (99.4942),3 7,2022/02/10 07:17:32,
39,2290162579,우성전기통신,박노선,분석,191850680,86.2,87.811,88.085,-0.50530 (99.4947),6 7,2022/02/08 14:16:53,
40,1138146387,(주)대산시스템,전재수,분석,191853737,86.2,87.812,88.087,-0.50370 (99.4963),14 7,2022/02/09 09:04:26,
41,1178108842,풍성건설(주),임명환,분석,191853738,86.2,87.812,88.087,-0.50370 (99.4963),11 10,2022/02/10 08:35:45,
42,1068801571,원테크놀로지 주식회사,강정수,분석,191853928,86.2,87.813,88.087,-0.50360 (99.4964),3 10,2022/02/08 20:20:45,
43,1108604272,소리콤 주식회사,정재홍,분석,191858900,86.4,87.815,88.089,-0.50100 (99.499),15 14,2022/02/09 23:44:37,
44,2128178492,주식회사 제이에치코리아,이주환,분석,191859570,86.4,87.815,88.089,-0.50065 (99.49935),10 7,2022/02/08 15:20:17,
45,1088122724,영진정보통신주식회사,김영식,분석,191864630,86.4,87.818,88.092,-0.49800 (99.502),12 14,2022/02/08 18:18:13,
46,1054180243,태우산전,강정자,분석,191864822,86.4,87.818,88.092,-0.49790 (99.5021),9 14,2022/02/09 11:26:07,
47,1078128574,(주)대진정보텔레콤,경완수,분석,191867690,86.4,87.819,88.093,-0.49640 (99.5036),12 7,2022/02/09 11:26:21,
48,1018148698,(주)석산텔레콤,박봉환,분석,191871893,86.4,87.821,88.095,-0.49420 (99.5058),5 2,2022/02/10 09:21:27,
49,2078147814,(주)대호엔지니어링,윤용상,분석,191875900,86.4,87.823,88.097,-0.49211 (99.50789),2 3,2022/02/09 08:42:22,
50,1018154491,엘케이테크넷(주),이만형,분석,191877052,86.4,87.824,88.097,-0.49150 (99.5085),4 13,2022/02/09 16:15:35,
51,2148132740,(주)융시스템,박진기,분석,191888080,86.6,87.829,88.102,-0.48573 (99.51427),13 11,2022/02/10 08:53:08,
52,1268159398,주식회사 파이런텍,이병길,분석,191891960,86.6,87.831,88.104,-0.48370 (99.5163),5 8,2022/02/09 15:14:18,
53,1068651233,(주)나사씨엔에스,신희태,분석,191892150,86.6,87.831,88.104,-0.48360 (99.5164),4 11,2022/02/09 09:10:28,
54,2148768177,(주)프라임엔시스템,윤재중,분석,191895300,86.6,87.833,88.106,-0.48196 (99.51804),4 3,2022/02/10 09:12:54,
55,1058693453,주식회사태융정보통신,문성준,분석,191898400,86.6,87.834,88.107,-0.48033 (99.51967),4 7,2022/02/10 01:44:46,
