순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1018642326,한우이앤에스(주)  [최종낙찰],변준석,분석,70702966.0,85.0,95.491,95.941,0.3740 (100.374),12 3,2020/11/10 15:11:39,
2,1074968483,국제정보통신,조광자,분석,70719730.0,85.0,95.514,95.964,0.3978 (100.3978),3 4,2020/11/09 15:54:46,
3,1298119624,우일계전공업 주식회사,백노현,분석,70738320.0,85.0,95.54,95.989,0.4241 (100.4241),4 5,2020/11/10 19:29:46,
4,1138632307,(주)인투에스,남기융,분석,70741500.0,85.0,95.544,95.994,0.4287 (100.4287),13 15,2020/11/09 15:58:16,
5,1048157783,(주)서울정보컴,고응준,분석,70755590.0,85.0,95.564,96.013,0.4487 (100.4487),11 8,2020/11/09 13:36:07,
6,2148805903,리조이스통신주식회사,최공휘,분석,70762416.0,85.0,95.573,96.022,0.4584 (100.4584),9 11,2020/11/10 08:52:36,
7,1078682044,명승파워넷 주식회사,공건식,분석,70762630.0,85.0,95.574,96.022,0.4587 (100.4587),6 1,2020/11/09 11:56:15,
8,1178185645,무원이엔씨 주식회사,염규주,분석,70769680.0,85.0,95.583,96.032,0.4687 (100.4687),13 12,2020/11/09 13:29:27,
9,1138604679,(주) 투데이게이트,김익훈,분석,70773270.0,85.0,95.588,96.037,0.4738 (100.4738),9 2,2020/11/10 10:36:34,
10,2178121937,부광이앤씨 주식회사,정동국,분석,70799960.0,85.0,95.625,96.073,0.5117 (100.5117),4 6,2020/11/09 14:33:05,
11,2068650742,한선씨앤씨 주식회사,장홍식,분석,70834476.0,85.0,95.673,96.12,0.5607 (100.5607),2 6,2020/11/09 17:42:47,
12,1041890207,삼정정보통신,이순봉,분석,70880402.0,85.0,95.737,96.182,0.6259 (100.6259),8 7,2020/11/09 15:32:07,
13,2028158261,주식회사 남두,김승균,분석,70884488.0,85.0,95.742,96.188,0.6317 (100.6317),14 5,2020/11/11 09:23:12,
14,2098134940,주식회사윤송이엔씨,정윤계,분석,70924840.0,85.0,95.798,96.242,0.6889 (100.6889),13 7,2020/11/11 08:58:30,
