순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1138148366,주식회사 레이어스  [최종낙찰],조인선,분석,31488300,87.751,88.212,0.53268 (100.53268),14 6,2019/11/04 10:38:33,
2,1050296111,중앙전자통신,김용수,분석,31488806,87.752,88.213,0.53430 (100.5343),2 14,2019/11/05 11:34:56,
3,2098130809,(주)엔트립,최종국,분석,31489120,87.753,88.214,0.53530 (100.5353),8 4,2019/10/31 05:54:26,
4,2308103607,주식회사 디케이앤트,양동국,분석,31489150,87.753,88.214,0.53539 (100.53539),6 5,2019/11/05 14:53:07,
5,2048174554,주식회사 창흥텔레콤,진경미,분석,31489400,87.754,88.215,0.53619 (100.53619),3 4,2019/11/06 07:41:09,
6,2068682619,주식회사 엠플러스통신,신동수,분석,31490180,87.756,88.217,0.53868 (100.53868),7 11,2019/11/04 09:07:24,
7,2208886221,주식회사 지엔아이티,윤상병,분석,31490460,87.757,88.218,0.53958 (100.53958),1 10,2019/10/31 10:41:39,
8,2208602950,(주)세연텔레콤,홍성일,분석,31492400,87.762,88.223,0.54577 (100.54577),10 6,2019/10/30 17:23:01,
9,2158643395,민네트워크(주),황상택,분석,31493580,87.765,88.227,0.54954 (100.54954),7 15,2019/11/01 18:52:27,
10,1078747777,(주)다인정보통신,박성근,분석,31494570,87.768,88.229,0.55270 (100.5527),3 15,2019/11/01 14:05:03,
11,2118691240,거성일렉콤(주),박성래,분석,31495380,87.77,88.232,0.55528 (100.55528),14 7,2019/11/05 09:22:22,
12,1098613335,주식회사 스마트씨앤아이,임요웅,분석,31495850,87.772,88.233,0.55679 (100.55679),3 15,2019/11/04 12:45:22,
13,2168100638,원흥전설(주),이제호,분석,31496700,87.774,88.235,0.55950 (100.5595),7 2,2019/11/05 10:44:32,
14,1068157019,(주)세호영상,박석신,분석,31497000,87.775,88.236,0.56046 (100.56046),7 2,2019/11/05 10:32:16,
15,2108130492,명신정보통신(주),서철,분석,31497650,87.777,88.238,0.56253 (100.56253),2 7,2019/11/05 10:58:03,
16,2148619081,주식회사 유신테크,김용근,분석,31497900,87.777,88.239,0.56333 (100.56333),11 12,2019/11/04 16:57:00,
17,1198609177,이유솔루션주식회사,장지호,분석,31498063,87.778,88.239,0.56385 (100.56385),7 14,2019/11/04 13:58:53,
18,2468101069,주식회사 길통신,권정임,분석,31498640,87.779,88.241,0.56569 (100.56569),11 7,2019/11/02 15:06:24,
19,1108609224,주식회사 두루스코,김옥연,분석,31499483,87.782,88.243,0.56838 (100.56838),4 14,2019/11/06 08:50:12,
20,1138640850,주식회사 우솔네트웍스,유상열,분석,31499550,87.782,88.243,0.56860 (100.5686),9 7,2019/11/05 10:35:03,
21,4208600611,주식회사 클라모스,김용택,분석,31499830,87.783,88.244,0.56949 (100.56949),15 7,2019/11/04 17:26:42,
22,2118606665,주식회사 아라랏,오선환,분석,31499920,87.783,88.244,0.56978 (100.56978),4 13,2019/11/03 11:41:18,
23,2148683225,(주)신화시스템,채관석,분석,31501520,87.787,88.249,0.57489 (100.57489),8 6,2019/11/05 10:47:59,
24,1108155382,(주)굿채널시스템,백홍현,분석,31501800,87.788,88.25,0.57578 (100.57578),7 13,2019/11/06 09:03:03,
25,1058792785,주식회사 신석,김민경,분석,31503930,87.794,88.256,0.58258 (100.58258),1 8,2019/11/01 13:51:52,
26,2158182826,(주)한국전설엔지니어링,허만일,분석,31504190,87.795,88.256,0.58341 (100.58341),7 2,2019/11/06 09:09:17,
27,1128107625,(주)삼정전기통신,김상민,분석,31504217,87.795,88.256,0.58350 (100.5835),8 12,2019/11/05 13:02:04,
28,1078682044,명승파워넷 주식회사,공건식,분석,31504340,87.795,88.257,0.58389 (100.58389),1 6,2019/11/05 13:11:36,
29,2170366237,염광통신공사,기홍용,분석,31505249,87.798,88.259,0.58679 (100.58679),11 10,2019/11/02 16:01:51,
30,2068643969,(주)삼우미디텍,표준영,분석,31507750,87.805,88.266,0.59478 (100.59478),10 9,2019/11/04 09:04:55,
31,2128145574,콤시스(주),서경환,분석,31509500,87.81,88.271,0.60037 (100.60037),8 15,2019/11/04 16:45:26,
32,1078688354,(주)혜인에스앤에스,유순희,분석,31509900,87.811,88.272,0.60164 (100.60164),10 5,2019/11/01 09:58:01,
33,1138131356,중원기전(주),김창중,분석,31512000,87.817,88.278,0.60835 (100.60835),1 7,2019/11/05 13:06:03,
34,1088607693,(주)가온데이터,이기원,분석,31515867,87.827,88.289,0.62069 (100.62069),13 3,2019/11/05 13:10:54,
35,2178125840,(주)에이디엠,정채옥,분석,31516270,87.829,88.29,0.62198 (100.62198),13 11,2019/11/04 18:02:46,
