순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2158182826,(주)한국전설엔지니어링  [최종낙찰],허만일,분석,72151450,85.0,87.745,87.69,-0.32539 (99.67461),15 9,2019/11/25 09:40:48,
2,2058132431,(주)삼화동력개발,정권봉,분석,72152310,85.0,87.746,87.691,-0.32420 (99.6758),3 5,2019/11/25 20:19:12,
3,2078149656,코리아데이타코퍼레이션(주),이기철,분석,72152630,85.0,87.746,87.691,-0.32376 (99.67624),7 12,2019/11/25 18:09:11,
4,1138653995,주식회사 아이티에스엠,봉상섭,분석,72153808,85.0,87.748,87.693,-0.32213 (99.67787),5 11,2019/11/25 16:09:23,
5,1198611746,(주)지트인,김재환,분석,72154233,85.0,87.748,87.693,-0.32154 (99.67846),15 8,2019/11/25 14:29:32,
6,2068601178,주식회사 해인이티에프,오재근,분석,72155918,85.0,87.751,87.695,-0.31920 (99.6808),5 7,2019/11/26 10:51:06,
7,1298141752,에이플시스템즈(주),윤진경,분석,72156570,85.0,87.751,87.696,-0.31830 (99.6817),9 4,2019/11/25 15:00:02,
8,2018604618,(주)씨피에스일렉트론,안영균,분석,72157890,85.0,87.753,87.697,-0.31647 (99.68353),10 1,2019/11/22 17:48:52,
9,2158138510,신신이앤씨주식회사,하대청,분석,72159744,85.2,87.755,87.7,-0.31390 (99.6861),11 1,2019/11/25 10:06:30,
10,1138106099,기전통신(주),윤기영,분석,72161900,85.2,87.758,87.702,-0.31092 (99.68908),14 15,2019/11/20 18:24:15,
11,1208768187,주식회사 다윈시스템,유재성,분석,72163250,85.2,87.76,87.704,-0.30905 (99.69095),7 3,2019/11/26 17:12:30,
12,1138640864,주식회사 지앤씨씨,정연진,분석,72163520,85.2,87.76,87.704,-0.30867 (99.69133),5 12,2019/11/26 14:01:56,
13,1078682044,명승파워넷 주식회사,공건식,분석,72163860,85.2,87.76,87.705,-0.30820 (99.6918),12 4,2019/11/25 11:17:58,
14,2048187419,(주)디지털우민,문장석,분석,72164703,85.2,87.761,87.706,-0.30703 (99.69297),11 13,2019/11/25 17:18:27,
15,1078679665,(주)젤루텍,이두규,분석,72166750,85.2,87.764,87.708,-0.30420 (99.6958),14 1,2019/11/25 09:53:28,
16,1078197085,(주)코어넷,소흥섭,분석,72167325,85.4,87.765,87.709,-0.30340 (99.6966),14 6,2019/11/26 18:55:42,
17,5298100062,주식회사 알에프코리아,신현성,분석,72168471,85.4,87.766,87.71,-0.30182 (99.69818),7 13,2019/11/26 09:28:22,
18,4908100798,주식회사 서우이에프씨,박상진,분석,72168586,85.4,87.766,87.71,-0.30166 (99.69834),1 4,2019/11/26 08:08:14,
19,1068648117,주식회사 티원엘에스,김영규,분석,72169058,85.4,87.767,87.711,-0.30100 (99.699),7 8,2019/11/22 22:25:38,
20,8018600805,세인트로그 주식회사,김세연,분석,72170450,85.4,87.769,87.713,-0.29907 (99.70093),14 10,2019/11/26 23:10:34,
21,1068674084,주식회사월드아이,신영구,분석,72170975,85.4,87.769,87.713,-0.29835 (99.70165),13 2,2019/11/27 09:14:03,
22,6288800543,주식회사 시온네트워크,김동현,분석,72171100,85.4,87.769,87.714,-0.29817 (99.70183),8 11,2019/11/26 09:07:58,
23,1198647905,주식회사 리안시스템,원미리,분석,72172000,85.4,87.771,87.715,-0.29693 (99.70307),2 13,2019/11/25 22:47:20,
24,1198191309,용진하이테크에너지 주식회사,김진석,분석,72172080,85.4,87.771,87.715,-0.29682 (99.70318),11 7,2019/11/26 11:39:11,
25,4338700569,주식회사 알에프에이스,홍영래,분석,72173605,85.4,87.773,87.717,-0.29470 (99.7053),3 4,2019/11/26 16:10:03,
26,2068611905,(주)한포넷,이현우,분석,72173707,85.4,87.773,87.717,-0.29456 (99.70544),3 12,2019/11/26 10:14:17,
27,1180673427,한마음정보시스템,정인숙,분석,72176482,85.6,87.776,87.72,-0.29072 (99.70928),10 1,2019/11/25 13:57:33,
28,6658600679,주식회사 오성텔레콤,강미령,분석,72176834,85.6,87.777,87.72,-0.29023 (99.70977),15 12,2019/11/26 23:06:50,
29,2098130809,(주)엔트립,최종국,분석,72180120,85.6,87.781,87.724,-0.28568 (99.71432),8 12,2019/11/20 12:13:28,
30,2068165221,유니슨전기(주),유창진,분석,72180941,85.6,87.782,87.725,-0.28454 (99.71546),10 5,2019/11/25 11:02:47,
31,1138188878,주식회사 신영이엔티,이찬세,분석,72181136,85.6,87.782,87.726,-0.28427 (99.71573),3 4,2019/11/20 12:49:45,
32,1078658471,우암정보통신 주식회사,김정훈,분석,72181860,85.6,87.783,87.727,-0.28327 (99.71673),7 13,2019/11/26 10:23:57,
33,1108609224,주식회사 두루스코,김옥연,분석,72181892,85.6,87.783,87.727,-0.28323 (99.71677),10 7,2019/11/27 09:24:12,
34,2048626080,주식회사 엘제이이엔지,임성희,분석,72182598,85.6,87.784,87.727,-0.28225 (99.71775),13 3,2019/11/20 12:00:57,
35,2208709343,유텔레콤주식회사,이종일,분석,72183273,85.8,87.785,87.728,-0.28131 (99.71869),6 3,2019/11/25 18:59:53,
36,1078646179,(주)가이드삼정,문용만,분석,72183985,85.8,87.785,87.729,-0.28033 (99.71967),6 4,2019/11/26 08:10:58,
37,2068164028,주식회사 이지아이앤씨,김한복,분석,72184500,85.8,87.786,87.73,-0.27961 (99.72039),8 5,2019/11/27 08:55:09,
38,6118600013,주식회사 위드넷,장성일,분석,72187881,85.8,87.79,87.734,-0.27493 (99.72507),2 10,2019/11/26 16:30:03,
39,1088124659,(주)비젼텔레콤,김진수,분석,72188870,85.8,87.792,87.735,-0.27356 (99.72644),8 15,2019/11/26 14:37:47,
40,6058166688,(주)세계아이티씨,김황기,분석,72189120,85.8,87.792,87.735,-0.27321 (99.72679),3 7,2019/11/26 11:09:38,
41,1298163829,(주)시원코리아,임희득,분석,72189480,85.8,87.792,87.736,-0.27272 (99.72728),12 2,2019/11/26 08:17:46,
42,2158747516,(주) 제이에스통신정보,한택수,분석,72190627,85.8,87.794,87.737,-0.27113 (99.72887),13 9,2019/11/27 08:56:33,
43,2048652666,주식회사 동연아이비에스,서동주,분석,72191068,85.8,87.794,87.738,-0.27052 (99.72948),12 9,2019/11/25 10:41:13,
44,2058126448,주식회사 순성이엔씨,양재희,분석,72191152,85.8,87.794,87.738,-0.27040 (99.7296),12 11,2019/11/25 16:18:27,
45,2098137137,주식회사우일씨앤아이,이준호,분석,72193295,86.0,87.797,87.741,-0.26743 (99.73257),10 4,2019/11/21 10:47:14,
46,1198656229,주식회사 경진네트워크,김응환,분석,72196027,86.0,87.8,87.744,-0.26365 (99.73635),7 1,2019/11/25 16:33:05,
47,1018195473,건영정보통신(주),이병옥,분석,72196680,86.0,87.801,87.745,-0.26274 (99.73726),1 11,2019/11/26 10:08:05,
