순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1078211162,사회복지법인한국노인생활지원재단  [최종낙찰],서정국,분석,130193048,85.0,87.749,86.761,-1.12050 (98.8795),5 11,2019/10/07 09:30:11,
2,2188118793,한국영상(주),송화재,분석,130194628,85.0,87.75,86.762,-1.11930 (98.8807),10 15,2019/10/04 14:22:11,
3,1050296111,중앙전자통신,김용수,분석,130198051,85.0,87.753,86.765,-1.11671 (98.88329),6 5,2019/10/07 18:32:27,
4,1188117645,(주)유투넷,최병국,분석,130202001,85.2,87.755,86.767,-1.11371 (98.88629),9 13,2019/10/06 11:11:01,
5,1138628948,주식회사 씨큐프라임,이승열,분석,130223052,85.4,87.77,86.781,-1.09772 (98.90228),7 10,2019/10/07 09:36:29,
6,1148692327,주식회사 우진미디어테크,김상범,분석,130223200,85.4,87.77,86.781,-1.09760 (98.9024),13 10,2019/10/07 13:12:49,
7,1068690366,(주)윈투스시스템,신경익,분석,130224385,85.4,87.77,86.782,-1.09670 (98.9033),13 4,2019/10/08 09:59:38,
8,1208633380,(주)에스에스통신,이종필,분석,130227500,85.4,87.773,86.784,-1.09434 (98.90566),12 3,2019/10/07 09:22:48,
9,2148864580,(주)리우솔루션,우삼렬,분석,130234128,85.6,87.777,86.789,-1.08931 (98.91069),1 9,2019/10/04 15:05:27,
10,2158721947,(주)엠지브이보안시스템,김흥국,분석,130235500,85.6,87.778,86.79,-1.08826 (98.91174),5 10,2019/10/07 10:02:20,
11,1018639665,(주)한양인프라넷,김주호,분석,130236470,85.6,87.779,86.79,-1.08753 (98.91247),7 9,2019/10/04 09:33:47,
12,2158603049,유니넷텍(주),김한호,분석,130238606,85.6,87.78,86.792,-1.08590 (98.9141),11 3,2019/10/08 08:57:27,
13,1058688514,(주)엠티에스정보기술,신현준,분석,130240700,85.6,87.781,86.793,-1.08431 (98.91569),10 12,2019/10/07 11:00:49,
14,5338700141,주식회사 인프라엔이,정우진,분석,130247558,85.8,87.786,86.798,-1.07911 (98.92089),11 15,2019/10/07 08:49:38,
15,1058649262,주식회사 노하우정보통신,임창배,분석,130248700,85.8,87.787,86.798,-1.07824 (98.92176),3 15,2019/10/07 09:42:35,
16,1088179135,주왕전기통신(주),권이길,분석,130250060,85.8,87.788,86.799,-1.07721 (98.92279),11 1,2019/10/07 08:19:48,
17,2178134000,(주)에스엠텔레콤,오현택,분석,130253800,85.8,87.79,86.802,-1.07436 (98.92564),10 11,2019/10/04 11:32:16,
18,1058179892,(주)지에스컴,김형호,분석,130255327,85.8,87.791,86.803,-1.07320 (98.9268),6 7,2019/10/04 17:45:11,
19,1078635181,티에스라인시스템 주식회사,최국현,분석,130261900,86.0,87.796,86.807,-1.06821 (98.93179),15 7,2019/10/07 10:41:50,
20,1068604157,주식회사 넥시스정보,오세후,분석,130262437,86.0,87.796,86.808,-1.06781 (98.93219),10 3,2019/10/04 17:47:48,
21,1018178116,(주)오경컴텍,김종근,분석,130267000,86.0,87.799,86.811,-1.06434 (98.93566),2 12,2019/10/04 09:15:57,
22,7188100420,주식회사 오투정보통신,양성윤,분석,130273890,86.0,87.804,86.815,-1.05911 (98.94089),1 3,2019/10/04 19:08:48,
23,3578800544,디와이아이앤씨주식회사,주인웅,분석,130275000,86.2,87.805,86.816,-1.05826 (98.94174),9 15,2019/10/04 13:42:25,
24,1198682431,(주)대경시스텍,반기수,분석,130275604,86.2,87.805,86.816,-1.05780 (98.9422),7 6,2019/10/04 10:37:03,
25,1058674193,(주)다인트론,서선동,분석,130276390,86.2,87.806,86.817,-1.05721 (98.94279),5 1,2019/10/04 10:09:28,
26,6658100427,주식회사 서울티엔에스,김선오,분석,130276526,86.2,87.806,86.817,-1.05710 (98.9429),12 5,2019/10/07 09:32:18,
27,2158768281,태일정보시스템(주),이미자,분석,130279027,86.2,87.807,86.819,-1.05521 (98.94479),14 3,2019/10/04 09:28:32,
28,7418801210,주식회사 한국에이브이산업,이재숙,분석,130280200,86.2,87.808,86.819,-1.05431 (98.94569),8 11,2019/10/07 08:00:27,
29,1108140249,(주)유베이스,허대건,분석,130281661,86.2,87.809,86.82,-1.05320 (98.9468),9 8,2019/10/08 10:01:26,
30,1138663208,주식회사 유영정보통신,박경순,분석,130285120,86.2,87.811,86.823,-1.05058 (98.94942),3 7,2019/10/04 15:37:12,
31,1068627183,한국씨텍(주),박재규,분석,130288200,86.2,87.813,86.825,-1.04824 (98.95176),4 15,2019/10/07 09:46:08,
32,2138627690,(주)이스텍,황복영,분석,130293300,86.4,87.817,86.828,-1.04437 (98.95563),6 14,2019/10/08 09:33:10,
33,1178153920,엠에스원디지털 주식회사,엄종만,분석,130301400,86.4,87.822,86.834,-1.03821 (98.96179),15 6,2019/10/07 11:37:20,
34,1058663420,(주)엠비에스엔지니어링,강형주,분석,130301806,86.4,87.823,86.834,-1.03790 (98.9621),9 8,2019/10/04 10:44:08,
35,1078738017,(주)애린테크,조승희,분석,130302069,86.4,87.823,86.834,-1.03771 (98.96229),2 9,2019/10/08 09:46:06,
36,1198153493,(주)경성네트웍,편해용,분석,130306500,86.6,87.826,86.837,-1.03434 (98.96566),7 3,2019/10/04 10:36:12,
37,2158168275,천마정보통신(주),황범만,분석,130307000,86.6,87.826,86.837,-1.03396 (98.96604),13 4,2019/10/07 23:50:57,
38,1358145603,한라인포넷(주),장경민,분석,130311419,86.6,87.829,86.84,-1.03060 (98.9694),10 9,2019/10/08 00:06:16,
39,2148805112,주식회사 지큐시스템즈,구자옥,분석,130313788,86.6,87.831,86.842,-1.02880 (98.9712),2 12,2019/10/07 08:12:33,
40,2118895916,주식회사 지오통신,김영송,분석,130314500,86.6,87.831,86.842,-1.02826 (98.97174),3 13,2019/10/04 16:44:11,
41,1198121822,유경제어 주식회사,기노경,분석,130321424,86.8,87.836,86.847,-1.02301 (98.97699),11 2,2019/10/08 08:23:35,
42,1208817900,주식회사 에이앤티플러스,김은아,분석,130326560,86.8,87.839,86.85,-1.01910 (98.9809),2 6,2019/10/07 10:18:46,
43,1048610901,이룸유비쿼터스주식회사,김광수,분석,130326956,86.8,87.84,86.851,-1.01880 (98.9812),9 12,2019/10/07 11:41:13,
44,1098150581,주식회사 우진파워텍,한용일,분석,130327700,86.8,87.84,86.851,-1.01824 (98.98176),7 13,2019/10/07 09:35:04,
45,1058186995,부원동력(주),이병의,분석,130328535,86.8,87.841,86.852,-1.01760 (98.9824),10 1,2019/10/07 13:59:04,
46,1208659755,(주)정운정보통신,곽덕문,분석,130329720,86.8,87.841,86.852,-1.01670 (98.9833),10 1,2019/10/04 10:56:05,
47,2148847295,티에스퓨처 주식회사,김명성,분석,130332353,86.8,87.843,86.854,-1.01470 (98.9853),3 10,2019/10/07 18:49:35,
48,1148642486,주식회사 큐브정보통신,유봉수,분석,130332800,86.8,87.844,86.854,-1.01437 (98.98563),1 13,2019/10/04 18:11:08,
49,1058645188,(주)삼구정보통신,장원기,분석,130340900,87.0,87.849,86.86,-1.00821 (98.99179),2 14,2019/10/07 12:02:17,
50,1198611746,(주)지트인,김재환,분석,130341438,87.0,87.849,86.86,-1.00781 (98.99219),5 13,2019/10/07 14:59:58,
51,1068683638,주식회사 엔씨씨디지탈,이상호,분석,130341830,87.0,87.85,86.86,-1.00751 (98.99249),13 5,2019/10/07 08:48:20,
52,2208604531,주식회사 월드린시스템즈,류준열,분석,130347500,87.0,87.853,86.864,-1.00320 (98.9968),1 13,2019/10/07 10:46:46,
53,1058762452,주식회사 제이엠시스,최지만,분석,130357634,87.2,87.86,86.871,-0.99550 (99.0045),8 12,2019/10/08 09:51:02,
54,1098167078,(주)에스씨네트,이계영,분석,130358160,87.2,87.861,86.871,-0.99510 (99.0049),6 12,2019/10/04 11:20:38,
55,2048130648,주식회사 케빅,정병철,분석,130359600,87.2,87.862,86.872,-0.99401 (99.00599),3 6,2019/10/07 16:31:45,
56,2068157319,주식회사 에스엘정보통신,채용석,분석,130367129,87.4,87.867,86.877,-0.98829 (99.01171),8 1,2019/10/04 16:34:28,
57,1078675432,(주)비젼엔텍,김종윤,분석,130373474,87.4,87.871,86.882,-0.98347 (99.01653),3 12,2019/10/08 09:07:06,
58,1018143596,부기테크(주),은철우,분석,130380540,87.6,87.876,86.886,-0.97811 (99.02189),11 9,2019/10/08 09:46:41,
59,2148840477,주식회사 알비에스테크,김동헌,분석,130381993,87.6,87.877,86.887,-0.97700 (99.023),2 10,2019/10/08 07:55:35,
60,2208657396,(주)가온네트,오장환,분석,130406780,87.8,87.893,86.904,-0.95818 (99.04182),5 14,2019/10/04 15:48:37,
61,1078636517,주식회사 국일이앤씨,서남석,분석,130412117,88.0,87.897,86.907,-0.95413 (99.04587),6 14,2019/10/07 15:29:46,
62,1138622662,퍼스트아이앤씨 주식회사,한종인,분석,130423863,88.2,87.905,86.915,-0.94520 (99.0548),3 10,2019/10/04 09:13:56,
63,2208726454,한국랜트로비젼(주),조병진,분석,130428208,88.2,87.908,86.918,-0.94190 (99.0581),13 1,2019/10/04 16:26:51,
64,2178119300,(주)엔씨디지넷,이종훈,분석,130437951,88.2,87.914,86.925,-0.93450 (99.0655),6 15,2019/10/07 09:41:29,
65,1068636509,청화하이테크 주식회사,김태훈,분석,130445300,88.4,87.919,86.929,-0.92892 (99.07108),9 6,2019/10/08 09:59:40,
66,2208615417,마인드원 주식회사,차희원,분석,130450854,88.4,87.923,86.933,-0.92471 (99.07529),6 10,2019/10/08 09:12:42,
67,1198649596,주식회사 원넷시스,김성식,분석,130461200,88.6,87.93,86.94,-0.91685 (99.08315),12 15,2019/10/07 17:05:44,
68,1208745904,(주)엘엔케이네트웍스,김광일,분석,130461920,88.6,87.931,86.94,-0.91630 (99.0837),8 4,2019/10/04 11:42:57,
69,1068188579,(주)키월드정보통신,김영범,분석,130462314,88.6,87.931,86.941,-0.91600 (99.084),5 15,2019/10/07 16:02:52,
70,2148122183,(주)하나전기,김선식,분석,130468235,88.8,87.935,86.945,-0.91150 (99.0885),9 4,2019/10/07 22:24:59,
71,2118668579,(주)아이정보기술,이훈희,분석,130472711,88.8,87.938,86.948,-0.90811 (99.09189),11 9,2019/10/07 07:42:37,
72,2018147460,태성전기통신(주),이덕우,분석,130474846,88.8,87.939,86.949,-0.90648 (99.09352),15 4,2019/10/07 15:04:34,
73,1108194973,주식회사 엔에스정보통신,임정빈,분석,130476670,88.8,87.941,86.95,-0.90510 (99.0949),3 12,2019/10/07 14:41:55,
74,2158706984,도드람정보기술 주식회사,이명석,분석,130483200,89.0,87.945,86.955,-0.90014 (99.09986),14 8,2019/10/04 12:20:48,
75,2148798098,주식회사 에이스뷰테크,김종오,분석,130486500,89.0,87.947,86.957,-0.89763 (99.10237),12 11,2019/10/04 12:30:06,
76,1198123174,주식회사 도래정보시스템,이은숙,분석,130491550,89.0,87.951,86.96,-0.89380 (99.1062),1 7,2019/10/07 11:13:54,
77,1218610885,주식회사 씨에스포유앤이,김승섭,분석,130493520,89.0,87.952,86.962,-0.89230 (99.1077),15 4,2019/10/04 11:58:24,
78,2068617141,(주)텔코아,황민석,분석,130496420,89.0,87.954,86.963,-0.89010 (99.1099),12 1,2019/10/07 14:58:55,
79,1298104500,주식회사 상지카일룸,최기보,분석,130499600,89.2,87.956,86.966,-0.88768 (99.11232),9 1,2019/10/07 18:05:08,
80,1058151176,(주)에스디엠엔씨,조성정,분석,130502000,89.2,87.958,86.967,-0.88586 (99.11414),11 7,2019/10/07 10:26:51,
81,1138175034,(주)윈플러스정보기술,정재원,분석,130513638,89.4,87.965,86.975,-0.87702 (99.12298),14 4,2019/10/08 09:24:57,
