순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2298134599,(주)시에나텔레콤  [최종낙찰],임종태,분석,935302576.0,45.0,86.745,87.87,0.39158 (100.39158),13 14,2019/10/28 16:28:56,
2,1018663767,비케이전기통신 주식회사,유봉근,분석,935312850.0,45.0,86.746,87.871,0.39270 (100.3927),2 6,2019/10/29 11:12:52,
3,1048157634,쿠도커뮤니케이션(주),김용식,분석,935379000.0,45.0,86.752,87.877,0.39986 (100.39986),8 10,2019/10/30 09:12:25,
4,8568800361,주식회사 우선기술,정우영,분석,935409800.0,45.2,86.755,87.88,0.40320 (100.4032),10 8,2019/10/29 11:00:14,
5,2148864580,(주)리우솔루션,우삼렬,분석,935428069.0,45.2,86.757,87.881,0.40517 (100.40517),4 12,2019/10/29 09:59:14,
6,2208727337,주식회사주니파워네트웍스,노병준,분석,935437500.0,45.2,86.758,87.882,0.40620 (100.4062),1 2,2019/10/28 19:11:51,
7,2208806533,제이와이씨엔아이(주),주용삼,분석,935486830.0,45.2,86.763,87.887,0.41154 (100.41154),3 9,2019/10/28 16:15:41,
8,1058628520,(주)청명서비스,최윤영,분석,935501207.0,45.4,86.765,87.888,0.41310 (100.4131),13 6,2019/10/28 16:49:33,
9,1208194567,아산정보통신(주),홍수길,분석,935503977.0,45.4,86.765,87.889,0.41340 (100.4134),3 6,2019/10/29 15:06:52,
10,2048182660,동원오비텍(주),박동을,분석,935535400.0,45.4,86.768,87.891,0.41680 (100.4168),13 3,2019/10/29 12:38:49,
11,1288147108,주식회사 씨앤씨전력,정행엽,분석,935571379.0,45.4,86.772,87.895,0.42070 (100.4207),9 8,2019/10/28 15:11:06,
12,1058622531,건웅신호산전(주),박정현,분석,935575080.0,45.4,86.772,87.895,0.42110 (100.4211),7 4,2019/10/29 13:16:47,
13,1198653668,에코아이넷(주),박은희,분석,935621470.0,45.6,86.777,87.9,0.42612 (100.42612),13 1,2019/10/29 09:19:48,
14,1138669143,홈넷홈 주식회사,이정원,분석,935637405.0,45.6,86.778,87.901,0.42785 (100.42785),8 7,2019/10/28 09:02:05,
15,1198609177,이유솔루션주식회사,장지호,분석,935652636.0,45.6,86.78,87.902,0.42950 (100.4295),7 12,2019/10/28 18:55:03,
16,2140550031,새론정보통신,이용주,분석,935689570.0,45.6,86.783,87.906,0.43350 (100.4335),15 7,2019/10/28 13:32:09,
17,2208726454,한국랜트로비젼(주),조병진,분석,935692336.0,45.6,86.784,87.906,0.43380 (100.4338),15 11,2019/10/28 14:18:02,
18,2148770450,주식회사 아리시스,이대섭,분석,935719055.0,45.8,86.786,87.909,0.43669 (100.43669),5 11,2019/10/28 10:19:37,
19,1298163829,(주)시원코리아,임희득,분석,935724650.0,45.8,86.787,87.909,0.43729 (100.43729),4 13,2019/10/29 14:46:49,
20,2200197668,엘지전기통신,하배용,분석,935775515.0,45.8,86.792,87.914,0.44280 (100.4428),3 11,2019/10/30 07:44:51,
21,1058606434,(주)케이디정보기술,이종오,분석,935811993.0,46.0,86.795,87.917,0.44675 (100.44675),9 3,2019/10/30 09:31:03,
22,1058130768,세원전설 주식회사,최영래,분석,935817900.0,46.0,86.796,87.918,0.44739 (100.44739),11 5,2019/10/29 15:59:44,
23,1098143872,보은전자방송통신(주),우영섭,분석,935818832.0,46.0,86.796,87.918,0.44750 (100.4475),4 12,2019/10/29 19:34:58,
24,2108130492,명신정보통신(주),서철,분석,935842319.0,46.0,86.798,87.92,0.45004 (100.45004),10 1,2019/10/28 15:00:38,
25,1188109785,주식회사 안세기술,이용안,분석,935873000.0,46.0,86.802,87.923,0.45336 (100.45336),8 14,2019/10/29 17:15:43,
26,1068127271,주식회사 농협네트웍스,권남회,분석,935936733.0,46.2,86.808,87.929,0.46026 (100.46026),2 8,2019/10/30 09:50:53,
27,2128178492,주식회사 제이에치코리아,이주환,분석,935940710.0,46.2,86.808,87.93,0.46070 (100.4607),3 15,2019/10/28 11:59:12,
28,1088607693,(주)가온데이터,이기원,분석,935949238.0,46.2,86.809,87.93,0.46162 (100.46162),15 13,2019/10/30 09:04:20,
29,2148186794,주식회사 리트코,정종경,분석,935950950.0,46.2,86.809,87.931,0.46180 (100.4618),5 10,2019/10/29 09:58:39,
30,1188109728,득진통신(주),김진섭,분석,935959177.0,46.2,86.81,87.931,0.46270 (100.4627),8 10,2019/10/29 10:09:32,
31,1058606899,이화티티씨(주),이선정,분석,935961945.0,46.2,86.81,87.932,0.46299 (100.46299),9 2,2019/10/28 17:21:44,
32,2208727579,유환아이텍 주식회사,유창수,분석,935963794.0,46.2,86.811,87.932,0.46320 (100.4632),14 15,2019/10/30 08:47:20,
33,1208742187,주식회사 미소아이티,김재욱,분석,935994910.0,46.2,86.814,87.935,0.46657 (100.46657),15 4,2019/10/29 09:12:36,
34,1058684745,(주)대곤아이엔씨,이체범,분석,936043077.0,46.4,86.818,87.939,0.47178 (100.47178),5 6,2019/10/29 09:55:35,
35,2108156959,두레에스텍 주식회사,유의근,분석,936049660.0,46.4,86.819,87.94,0.47249 (100.47249),14 2,2019/10/28 16:00:41,
36,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,936050866.0,46.4,86.819,87.94,0.47263 (100.47263),5 11,2019/10/29 17:54:00,
37,2128196942,동진이앤씨(주),민진식,분석,936094500.0,46.4,86.824,87.944,0.47735 (100.47735),3 5,2019/10/29 09:35:28,
38,1018154598,씨엔에스코리아(주),유호태,분석,936106900.0,46.6,86.825,87.945,0.47869 (100.47869),8 2,2019/10/29 07:22:16,
39,2118606665,주식회사 아라랏,오선환,분석,936119827.0,46.6,86.826,87.946,0.48009 (100.48009),9 10,2019/10/29 20:50:46,
40,2158197601,(주)알파시큐넷,강도석,분석,936122000.0,46.6,86.826,87.947,0.48033 (100.48033),3 9,2019/10/28 14:55:54,
41,1048118820,대우정보시스템 주식회사,김상직,분석,936206629.0,46.8,86.835,87.955,0.48950 (100.4895),7 3,2019/10/28 09:53:57,
42,1058133654,백상기업(주),김풍원,분석,936264600.0,46.8,86.84,87.96,0.49577 (100.49577),9 3,2019/10/29 17:56:52,
43,1188120761,(주)동화이엔씨,이재원,분석,936323880.0,47.0,86.846,87.966,0.50219 (100.50219),10 1,2019/10/29 09:50:11,
44,1128126393,주식회사 승도이엔씨,신종성,분석,936323900.0,47.0,86.846,87.966,0.50220 (100.5022),12 6,2019/10/30 09:01:21,
45,1198179983,(주)에이피텔,정용명,분석,936406990.0,47.2,86.855,87.973,0.51120 (100.5112),15 7,2019/10/28 17:07:45,
46,1108153161,(주)나이츠넷,이용현,분석,936419159.0,47.2,86.856,87.975,0.51251 (100.51251),2 15,2019/10/28 10:26:43,
47,1098626994,주식회사 에이치엔엠,성기용,분석,936423883.0,47.2,86.856,87.975,0.51302 (100.51302),11 13,2019/10/28 10:21:11,
48,3498801353,주식회사 삼신이엔지,장호기,분석,936428573.0,47.2,86.857,87.975,0.51353 (100.51353),6 15,2019/10/28 13:17:36,
49,1074870357,영진정보통신,김종규,분석,936456850.0,47.2,86.86,87.978,0.51660 (100.5166),10 6,2019/10/29 12:39:41,
50,1238154375,주식회사 씨케이테크피아,이동수,분석,936522400.0,47.4,86.866,87.984,0.52369 (100.52369),1 12,2019/10/29 09:02:32,
51,1188117816,(주)영원정보통신,전춘식,분석,936580576.0,47.4,86.872,87.99,0.53000 (100.53),13 3,2019/10/28 14:29:06,
52,1200582335,델타전자통신,이성남,분석,936580590.0,47.4,86.872,87.99,0.53000 (100.53),5 15,2019/10/30 00:10:39,
53,2648102203,주식회사 디씨아이어드벤스,송권용,분석,936692230.0,47.6,86.883,88.0,0.54209 (100.54209),2 6,2019/10/28 09:37:30,
54,2078136393,삼언전공 주식회사,공석복,분석,936719075.0,47.8,86.886,88.003,0.54500 (100.545),9 15,2019/10/30 09:44:17,
55,1058164176,(주)신보파워텍,공민우,분석,936736636.0,47.8,86.887,88.004,0.54690 (100.5469),14 2,2019/10/30 08:57:21,
56,1288141176,주식회사 와이씨스템,장영찬,분석,936800328.0,47.8,86.894,88.01,0.55380 (100.5538),4 1,2019/10/28 11:08:38,
57,1148683959,제이엔에스텍주식회사,안종기,분석,936822490.0,48.0,86.896,88.012,0.55620 (100.5562),8 6,2019/10/30 07:53:35,
58,1088155278,금하개발(주),김채모,분석,936830800.0,48.0,86.897,88.013,0.55710 (100.5571),3 5,2019/10/29 11:00:51,
59,2338109463,주식회사 아이티에스서비스,지영일,분석,936837260.0,48.0,86.897,88.014,0.55780 (100.5578),7 9,2019/10/29 11:40:46,
60,1048635917,주식회사 비전에스엔씨,김국배,분석,936857600.0,48.0,86.899,88.016,0.56000 (100.56),5 11,2019/10/28 09:14:12,
61,1078805018,주식회사 지엔아이테크,박우정,분석,936918237.0,48.2,86.905,88.021,0.56657 (100.56657),3 10,2019/10/28 17:37:45,
62,2041077930,라인월드정보,박선양,분석,936919481.0,48.2,86.906,88.022,0.56670 (100.5667),1 6,2019/10/29 15:19:25,
63,1198153514,다린전력(주),오승한,분석,936924500.0,48.2,86.906,88.022,0.56724 (100.56724),6 14,2019/10/29 14:14:05,
64,2098141039,(주)벨에어테크,최트로이,분석,936963760.0,48.2,86.91,88.026,0.57150 (100.5715),6 5,2019/10/28 17:28:09,
65,2118726218,주식회사 씨그테크,이윤호,분석,936981300.0,48.2,86.912,88.027,0.57340 (100.5734),10 5,2019/10/28 11:10:26,
66,2158102574,株式會社 基電社,김민호,분석,937003000.0,48.2,86.914,88.029,0.57575 (100.57575),10 2,2019/10/30 08:35:53,
67,1138189770,인콤아이에스(주),강점식,분석,937035780.0,48.4,86.917,88.032,0.57930 (100.5793),14 2,2019/10/29 08:30:22,
68,1018644343,주식회사 세광이엔씨,장문주,분석,937045932.0,48.4,86.918,88.033,0.58040 (100.5804),4 2,2019/10/29 09:38:24,
69,2208804175,주식회사 예준시스템,이인애,분석,937064396.0,48.4,86.92,88.035,0.58239 (100.58239),12 10,2019/10/30 09:18:48,
70,1198646212,주식회사 에프에스네트웍스,이화수,분석,937136650.0,48.6,86.927,88.042,0.59022 (100.59022),1 11,2019/10/29 15:50:27,
71,2068193673,지에스네트웍스(주),임동배,분석,937203820.0,48.6,86.934,88.048,0.59749 (100.59749),7 12,2019/10/28 18:17:44,
72,2048159043,이앤씨텔레콤(주),김진갑,분석,937287774.0,48.8,86.942,88.056,0.60659 (100.60659),12 3,2019/10/29 13:21:45,
73,1098167078,(주)에스씨네트,이계영,분석,937288643.0,48.8,86.942,88.056,0.60668 (100.60668),13 4,2019/10/28 10:35:39,
74,1088188385,주식회사 오메카,오정은,분석,937298568.0,48.8,86.943,88.057,0.60776 (100.60776),8 15,2019/10/29 19:55:51,
75,2118612681,(주)해우정보시스템,김병헌,분석,937302616.0,48.8,86.944,88.058,0.60819 (100.60819),14 15,2019/10/28 10:37:31,
76,2198123760,기찬정보통신(주),홍석기,분석,937330317.0,49.0,86.946,88.06,0.61120 (100.6112),6 5,2019/10/28 16:26:51,
77,2048124559,(주)대용와트스,남상태,분석,937359863.0,49.0,86.949,88.063,0.61440 (100.6144),4 15,2019/10/29 08:50:58,
78,1068180878,주식회사 신보,정재문,분석,937365450.0,49.0,86.95,88.063,0.61500 (100.615),9 13,2019/10/30 09:40:53,
79,1148135087,장한전산(주),이상철,분석,937385486.0,49.0,86.952,88.065,0.61717 (100.61717),15 10,2019/10/29 17:08:05,
80,1188114949,이주씨스템(주),이복균,분석,937430790.0,49.2,86.956,88.07,0.62208 (100.62208),11 10,2019/10/29 15:28:13,
81,1358178502,주식회사 디알네트웍스,이기영,분석,937443880.0,49.2,86.958,88.071,0.62349 (100.62349),5 12,2019/10/30 06:35:04,
82,2148811443,(주)우신지엘에스,문경종,분석,937450350.0,49.2,86.958,88.071,0.62420 (100.6242),2 14,2019/10/28 10:18:56,
83,2188120741,케이씨티정보통신(주),백형은,분석,937455880.0,49.2,86.959,88.072,0.62479 (100.62479),5 11,2019/10/30 08:35:55,
