순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-46,1348611949,대야정보통신주식회사,민병구,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-47,2098141233,주식회사 엠앤에이치,이무진,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-48,1068678514,주식회사 인프라이엔씨,김병훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-49,2048648634,주식회사 디에스에스지,이주미,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-50,1288708320,주식회사 도경정보통신,정길호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-51,1248685589,(주)이림엔지니어링,이선주,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-52,1188120591,주식회사 비아이엔,함영욱,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-53,2018178513,주식회사 엔텍스,박승의,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-54,2158722591,주식회사 안음,김성일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-55,1058645500,태지종합건설(주),정지혜,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-56,2198128106,우선이엔씨(주),김광수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-57,1258138992,인남정보통신 주식회사,한현희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-58,1088179663,주식회사 시큐뱅크,심재춘,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-59,1328105863,(주)명동전기공사,김은옥,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-60,2118101156,(주)인스틴솔루션,박세준,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-61,2048189682,세왕전력(주),안성호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-62,1078193207,주식회사 주광전기,이승훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-63,1328178629,현성교통건설 주식회사,김도연,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-64,6058166688,(주)세계아이티씨,김황기,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-65,1068617725,주식회사 벤처씨엔씨프라자,박재범,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-66,6218602134,(주)플러스전력,이하일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-67,2178114305,주식회사 케이엠씨앤아이,서정만,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-68,1218157435,(주)해오름넷,황명란,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-69,1248650187,(주)성창엔지니어링,장춘일,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-70,1148137654,(주)미동이엔씨,이병복,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-71,8438700830,라인정보기술(주),이준희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-72,2078126444,(주)대영전설,김문영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
