순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2118668579,(주)아이정보기술  [최종낙찰],이훈희,분석,38345526,88.013,88.029,0.03319 (100.03319),9 4,2023/01/25 09:27:07,
2,2068694508,주식회사 웰정보기술,강희춘,분석,38352300,88.029,88.044,0.05087 (100.05087),1 11,2023/01/25 07:43:31,
3,1148678591,주식회사엠아이솔텍,최윤정,분석,38363700,88.055,88.07,0.08060 (100.0806),3 8,2023/01/22 19:28:21,
4,1078746443,(주)라인테크놀로지,유현식,분석,38364539,88.057,88.072,0.08279 (100.08279),13 12,2023/01/25 15:45:35,
5,2188101953,주식회사 비츠로시스,이기재,분석,38372700,88.075,88.091,0.10408 (100.10408),2 6,2023/01/20 11:14:47,
6,1138606420,(주)엠케이시큐리티,박상철,분석,38376530,88.084,88.1,0.11407 (100.11407),1 12,2023/01/25 09:16:23,
7,1058716036,주식회사 피닉스엔지니어링,김현봉,분석,38380370,88.093,88.109,0.12409 (100.12409),10 3,2023/01/20 12:40:48,
8,2158168275,천마정보통신(주),황범만,분석,38382000,88.097,88.112,0.12834 (100.12834),2 1,2023/01/26 14:08:12,
9,5618600208,두인코컴넷(주),이철규,분석,38384200,88.102,88.117,0.13408 (100.13408),10 6,2023/01/25 08:30:51,
10,2042772836,정한상사,김유성,분석,38388030,88.111,88.126,0.14408 (100.14408),3 8,2023/01/25 09:37:04,
11,2148705513,주식회사 케이이에스 전기공사,강성진,분석,38393136,88.122,88.138,0.15740 (100.1574),2 11,2023/01/25 09:26:27,
12,1198174315,주식회사 다솜이엔씨,송인주,분석,38395700,88.128,88.144,0.16408 (100.16408),10 15,2023/01/25 10:34:09,
13,4568800195,주식회사 동부코리아통신,윤미옥,분석,38399530,88.137,88.153,0.17408 (100.17408),7 14,2023/01/26 08:57:05,
14,2108170441,주식회사 에이원아이티,문계숙,분석,38403370,88.146,88.162,0.18409 (100.18409),12 5,2023/01/26 09:00:06,
15,1138123972,(주)일광테크,임기철,분석,38408891,88.158,88.174,0.19850 (100.1985),7 2,2023/01/25 09:22:22,
16,7098602638,주식회사 시그널아이씨티,강민희,분석,38412072,88.166,88.181,0.20679 (100.20679),13 1,2023/01/26 14:32:44,
17,1208782160,에스엔에스이서비스주식회사,정경식,분석,38414760,88.172,88.188,0.21381 (100.21381),3 11,2023/01/25 09:52:37,
18,1868701018,주식회사 소담정보통신,주옥,분석,38414870,88.172,88.188,0.21409 (100.21409),8 11,2023/01/25 09:07:58,
19,1288138083,주식회사 유앤후레쉬,우재명,분석,38415270,88.173,88.189,0.21514 (100.21514),1 4,2023/01/25 20:49:13,
20,4018600546,주식회사 케이투시스템즈,강병준,분석,38415700,88.174,88.19,0.21626 (100.21626),13 11,2023/01/26 09:46:31,
21,2048626080,주식회사 엘제이이엔지,임성희,분석,38439520,88.229,88.244,0.27840 (100.2784),11 7,2023/01/25 14:57:07,
22,2068196840,주식회사 혜성이티에스,이상영,분석,38440723,88.232,88.247,0.28154 (100.28154),14 1,2023/01/26 08:44:25,
