순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1198629343,디비시스(주)  [최종낙찰],두혁,분석,118646734,88.244,87.052,-0.78931 (99.21069),7 5,2023/02/03 10:04:33,
2,2018603701,소성정보기술 주식회사,김금남,분석,118736103,88.31,87.117,-0.71458 (99.28542),5 8,2023/02/06 08:07:32,
3,1088149704,썬시큐원(주),백석환,분석,118825410,88.377,87.183,-0.63990 (99.3601),6 1,2023/02/04 06:28:30,
4,1058173369,(주)신한개발,이종순,분석,118972381,88.486,87.291,-0.51700 (99.483),3 7,2023/02/02 15:56:29,
5,2158602337,지엔네텔(주),고시영,분석,119541248,88.909,87.708,-0.04133 (99.95867),6 2,2023/02/06 09:26:20,
6,1098645502,주식회사 매사,강종효,분석,119571000,88.931,87.73,-0.01645 (99.98355),5 13,2023/02/06 08:39:21,
7,6848600291,주식회사 제너시스템,이영진,분석,119726120,89.046,87.844,0.11326 (100.11326),6 1,2023/02/02 11:32:58,
8,1138645971,주식회사 포딕스시스템,정재호,분석,119734100,89.052,87.85,0.11993 (100.11993),12 3,2023/02/06 09:28:51,
9,2130230588,태극정보통신,이상호,분석,119880376,89.161,87.957,0.24225 (100.24225),15 13,2023/02/05 16:57:55,
10,1138649133,빅썬시스템즈 주식회사,권태일,분석,119890660,89.169,87.965,0.25085 (100.25085),7 5,2023/02/02 14:46:39,
11,2148734283,(주)뉴넷정보기술,김종원,분석,119911644,89.184,87.98,0.26839 (100.26839),9 11,2023/02/03 14:05:42,
12,1288138083,주식회사 유앤후레쉬,우재명,분석,119962890,89.223,88.018,0.31125 (100.31125),14 10,2023/02/05 19:07:28,
13,2098211809,사단법인 해오름장애인협회,노영주,분석,120070512,89.303,88.097,0.40124 (100.40124),3 11,2023/02/03 15:06:58,
14,2338109798,구스텍 주식회사,고중구,분석,120222900,89.416,88.208,0.52866 (100.52866),4 2,2023/02/03 16:27:31,
15,1088154468,(주)이젠정보통신,이동필,분석,120224494,89.417,88.21,0.53000 (100.53),11 10,2023/02/05 05:12:57,
16,1108609224,주식회사 두루스코,김옥연,분석,120232866,89.423,88.216,0.53700 (100.537),2 9,2023/02/03 12:01:55,
17,1138677788,(주)제이에스지테크,박혜경,분석,120245800,89.433,88.225,0.54781 (100.54781),4 3,2023/02/02 10:59:33,
18,1198670032,주식회사 엠디에스모빌리티,김재욱,분석,120294600,89.469,88.261,0.58862 (100.58862),9 12,2023/02/02 13:16:37,
19,2128608050,(주)엔큐컨설팅,유관우,분석,120299000,89.473,88.264,0.59230 (100.5923),1 10,2023/02/05 10:13:38,
20,1188114949,이주씨스템(주),이복균,분석,120558100,89.665,88.454,0.80895 (100.80895),10 15,2023/02/06 09:17:42,
21,1218140540,영현정보통신(주),김두식,분석,120978130,89.978,88.762,1.16017 (101.16017),14 5,2023/02/06 08:18:09,
22,1078677070,씨지에스아이티(주),최규식,분석,121515595,90.377,89.157,1.60960 (101.6096),2 7,2023/02/02 18:28:53,
23,1138163445,주식회사 삼도통신,이정경,분석,122620500,91.199,89.968,2.53350 (102.5335),7 5,2023/02/02 16:47:13,
24,6768601611,주식회사 루트웰,노덕권,분석,135418500,100.7182,99.358,13.23501 (113.23501),14 9,2023/02/06 08:38:42,예가초과
