순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2158171649,(주)삼삼통신기술  [최종낙찰],방창배,분석,216873900,85.0,87.747,87.726,-0.74296 (99.25704),11 6,2023/12/26 08:58:20,
2,2158676426,주식회사 건영이앤씨,박지명,분석,216874000,85.0,87.747,87.726,-0.74292 (99.25708),10 4,2023/12/22 12:51:21,
3,1058622531,건웅신호산전(주),박정현,분석,216877420,85.0,87.749,87.727,-0.74134 (99.25866),1 13,2023/12/22 09:36:37,
4,2048652666,주식회사 동연아이비에스,서동주,분석,216892460,85.2,87.755,87.733,-0.73441 (99.26559),10 7,2023/12/21 08:45:33,
5,1198668254,대신인포시스 주식회사,최혜경,분석,216897497,85.2,87.757,87.736,-0.73208 (99.26792),8 1,2023/12/22 10:27:42,
6,2208116823,주봉정보시스템(주),김봉기,분석,216900706,85.2,87.759,87.737,-0.73061 (99.26939),15 8,2023/12/21 15:55:25,
7,1078165206,앤아이에스(주),정성호,분석,216902659,85.2,87.759,87.738,-0.72970 (99.2703),9 11,2023/12/22 18:16:18,
8,1058693453,주식회사태융정보통신,문성준,분석,216903300,85.2,87.76,87.738,-0.72941 (99.27059),11 1,2023/12/26 00:33:17,
9,1068608755,(주)디제이티,차시환,분석,216909600,85.2,87.762,87.74,-0.72651 (99.27349),4 5,2023/12/26 11:10:00,
10,2048124559,(주)대용와트스,남상태,분석,216928690,85.4,87.771,87.748,-0.71770 (99.2823),14 1,2023/12/21 11:20:33,
11,6338800846,원흥이엔씨 주식회사,최재혁,분석,216933896,85.4,87.773,87.75,-0.71530 (99.2847),14 15,2023/12/21 17:10:59,
12,1198639540,주식회사 새누,황선오,분석,216938990,85.6,87.775,87.752,-0.71296 (99.28704),10 5,2023/12/19 14:51:20,
13,1088154468,(주)이젠정보통신,이동필,분석,216956240,85.6,87.782,87.759,-0.70500 (99.295),6 3,2023/12/24 16:47:45,
14,2148854189,(주)태원전기,김응식,분석,216970338,85.8,87.789,87.765,-0.69850 (99.3015),9 2,2023/12/21 11:16:55,
15,1338113707,(주)대보통신,염영숙,분석,216970400,85.8,87.789,87.765,-0.69848 (99.30152),6 11,2023/12/21 12:39:30,
16,1318701298,주식회사 아이오티아이티키,박광열,분석,216983571,85.8,87.794,87.77,-0.69240 (99.3076),4 2,2023/12/22 13:02:49,
17,1148611926,(주)동진이앤티,김미화,분석,216993850,86.0,87.799,87.775,-0.68767 (99.31233),15 14,2023/12/26 06:36:17,
18,2208110305,주식회사 일신이앤드씨,홍영남,분석,216995000,86.0,87.799,87.775,-0.68714 (99.31286),10 1,2023/12/22 17:23:42,
19,1738100419,주식회사 아이즈온솔루션,김보현,분석,216996370,86.0,87.8,87.776,-0.68650 (99.3135),3 7,2023/12/22 14:14:31,
20,1078156541,한국네트웍엔지니어링 주식회사,김해홍,분석,217002225,86.0,87.802,87.778,-0.68380 (99.3162),13 5,2023/12/26 09:52:20,
21,8128800740,주식회사 대일시스템,이승일,분석,217002306,86.0,87.802,87.778,-0.68377 (99.31623),6 9,2023/12/20 10:44:02,
22,2178143187,(주)미디어밸리렛,전필숙,분석,217011552,86.2,87.806,87.782,-0.67951 (99.32049),10 5,2023/12/26 09:49:20,
23,1018151140,(주)사운드솔루션,이홍,분석,217034690,86.4,87.816,87.791,-0.66884 (99.33116),13 1,2023/12/22 10:00:59,
24,1138636865,주식회사 정원시큐,염승호,분석,217034787,86.4,87.816,87.791,-0.66879 (99.33121),3 7,2023/12/21 10:15:30,
25,1198178757,주식회사우신아이앤씨,이화세,분석,217039320,86.4,87.818,87.793,-0.66670 (99.3333),15 10,2023/12/22 18:18:48,
26,1058748784,(주)에스알시스템,김수정,분석,217039750,86.4,87.818,87.793,-0.66651 (99.33349),12 1,2023/12/22 08:15:22,
27,2108157604,주식회사 유니원이엔지,장소영,분석,217046470,86.4,87.821,87.796,-0.66341 (99.33659),8 11,2023/12/22 10:32:53,
28,1408169475,주식회사 제이앤제이파워스,박재옥,분석,217046900,86.4,87.821,87.796,-0.66321 (99.33679),12 15,2023/12/26 08:33:47,
29,1058740405,(주)화성이엔지,김택환,분석,217047128,86.4,87.822,87.796,-0.66310 (99.3369),9 4,2023/12/21 15:11:02,
30,2148811443,(주)우신지엘에스,문경종,분석,217049520,86.4,87.823,87.797,-0.66200 (99.338),4 11,2023/12/25 23:04:14,
31,5198102535,주식회사 이음유앤아이,박영재,분석,217055830,86.6,87.825,87.8,-0.65909 (99.34091),1 14,2023/12/22 09:34:23,
32,2048174554,주식회사 창흥텔레콤,진경미,분석,217058600,86.6,87.826,87.801,-0.65782 (99.34218),5 2,2023/12/20 10:27:39,
33,1098145720,주식회사 영원텔레콤,김재성,분석,217060790,86.6,87.827,87.802,-0.65681 (99.34319),1 6,2023/12/22 10:45:52,
34,2108131394,(주)안나시스템,문병조,분석,217061444,86.6,87.828,87.802,-0.65650 (99.3435),7 11,2023/12/26 07:23:22,
35,2548800191,신용전기통신 주식회사,정지택,분석,217070780,86.6,87.832,87.806,-0.65220 (99.3478),6 11,2023/12/22 16:34:00,
36,1138148411,(주)풍천정보네트웍,김학봉,분석,217077062,86.6,87.834,87.808,-0.64931 (99.35069),3 10,2023/12/21 15:12:56,
37,1078756219,주식회사 엠씨미디어솔루션,하동호,분석,217091989,86.8,87.841,87.814,-0.64242 (99.35758),4 8,2023/12/26 10:17:50,
38,1198169165,(주)기창인포텍,김석진,분석,217097780,86.8,87.843,87.817,-0.63975 (99.36025),3 8,2023/12/20 16:44:08,
39,2048140753,(주)청효이씨이,이범석,분석,217098500,86.8,87.844,87.817,-0.63942 (99.36058),14 9,2023/12/20 14:27:31,
40,3058138619,(주)사이버텔브릿지,남백산,분석,217110957,87.0,87.849,87.822,-0.63368 (99.36632),11 7,2023/12/19 14:37:51,
41,1138137229,두복산전(주),이영두,분석,217112203,87.0,87.85,87.822,-0.63311 (99.36689),7 12,2023/12/22 10:06:31,
42,2208726454,한국랜트로비젼(주),조병진,분석,217126520,87.2,87.856,87.828,-0.62650 (99.3735),6 13,2023/12/21 09:20:08,
43,1198682431,(주)대경시스텍,반기수,분석,217128689,87.2,87.857,87.829,-0.62551 (99.37449),9 5,2023/12/22 16:35:46,
44,1138668654,주식회사코리아아이씨티,장규호,분석,217133470,87.2,87.859,87.831,-0.62330 (99.3767),1 14,2023/12/20 14:41:03,
45,3628700817,씨큐리티 주식회사,공승길,분석,217135631,87.2,87.86,87.832,-0.62230 (99.3777),5 3,2023/12/26 09:03:59,
46,2138800230,주식회사 성민전기통신,홍종애,분석,217138018,87.2,87.861,87.833,-0.62120 (99.3788),9 14,2023/12/21 00:25:15,
47,1098178920,주식회사 보다컴,류시훈,분석,217143873,87.2,87.863,87.835,-0.61851 (99.38149),13 7,2023/12/21 09:25:31,
48,1078756640,주식회사 링크씨앤아이,김대훈,분석,217146693,87.2,87.864,87.836,-0.61721 (99.38279),3 4,2023/12/25 16:44:51,
49,1178164451,(주)지엠디텔레콤,김창윤,분석,217146910,87.2,87.864,87.836,-0.61711 (99.38289),13 2,2023/12/22 13:23:14,
50,3388801483,주식회사 에버그린티앤씨,최재완,분석,217164000,87.4,87.872,87.843,-0.60923 (99.39077),1 14,2023/12/20 16:01:08,
51,1108140593,(주)대건이엔씨,이황희,분석,217164690,87.4,87.872,87.844,-0.60891 (99.39109),9 8,2023/12/22 19:33:05,
52,2138180142,서울아이디시스템(주),김동수,분석,217171740,87.6,87.875,87.846,-0.60566 (99.39434),10 4,2023/12/20 13:34:45,
53,1198164802,주식회사 비아이넷,김동균,분석,217190077,87.6,87.883,87.854,-0.59721 (99.40279),1 2,2023/12/21 09:44:39,
54,1138141456,(주)나우아이앤씨,안남훈,분석,217194199,87.8,87.885,87.856,-0.59530 (99.4047),8 12,2023/12/21 10:03:00,
55,1098167078,(주)에스씨네트,이계영,분석,217206120,87.8,87.89,87.86,-0.58981 (99.41019),11 2,2023/12/21 10:08:06,
56,8268102035,주식회사 더블유엔에스,박현준,분석,217221000,88.0,87.896,87.866,-0.58295 (99.41705),8 5,2023/12/19 19:56:45,
57,7948100026,주식회사 아성엠,전세희,분석,217223270,88.0,87.897,87.867,-0.58190 (99.4181),11 7,2023/12/20 16:47:08,
58,2048644152,신해공영주식회사,이종범,분석,217226900,88.0,87.899,87.869,-0.58023 (99.41977),11 10,2023/12/26 07:52:02,
59,2018643926,두전네트웍스 주식회사,김병현,분석,217229340,88.0,87.9,87.87,-0.57910 (99.4209),9 4,2023/12/21 11:25:57,
60,5868701163,주식회사 하이텍에이브이,김라영,분석,217230641,88.0,87.9,87.87,-0.57851 (99.42149),13 9,2023/12/26 11:03:41,
61,2018633767,주식회사 명진에스앤씨,이성훈,분석,217235840,88.0,87.903,87.872,-0.57611 (99.42389),8 15,2023/12/21 09:47:22,
