순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1138618964,주식회사 에스엠플러스정보통신  [최종낙찰],왕성모,분석,111035480,85.0,88.325,85.514,-3.5817 (96.4183),5 1,2022/08/24 09:01:59,
2,2158676426,주식회사 건영이앤씨,박지명,분석,111042388,85.0,88.33,85.519,-3.5757 (96.4243),6 13,2022/08/24 11:02:47,
3,2118620935,주식회사 한양티이씨,조형국,분석,111106532,85.0,88.383,85.569,-3.5200 (96.48),3 6,2022/08/24 15:09:34,
4,2098133373,주식회사 씨스넷,이명재,분석,111111340,85.0,88.387,85.572,-3.5159 (96.4841),1 6,2022/08/22 13:54:34,
5,2098137137,주식회사우일씨앤아이,이준호,분석,111136480,85.0,88.408,85.592,-3.4940 (96.506),3 1,2022/08/23 17:29:35,
6,2048133679,(주)뉴콤,배상열,분석,111150128,85.0,88.419,85.602,-3.4822 (96.5178),12 4,2022/08/23 13:33:20,
7,2128140491,(주)벧엘정보통신,채수진,분석,111159511,85.0,88.427,85.61,-3.4740 (96.526),15 13,2022/08/24 09:55:03,
8,2158674452,(주)새별네트웍스,현경순,분석,111223600,85.0,88.48,85.659,-3.4184 (96.5816),6 1,2022/08/22 16:56:39,
9,1088178984,(주)포소드,마명철,분석,111228457,85.0,88.484,85.663,-3.4142 (96.5858),8 6,2022/08/23 10:04:36,
10,1198123174,주식회사 도래정보시스템,이은숙,분석,111237350,85.0,88.491,85.669,-3.4065 (96.5935),1 9,2022/08/24 09:15:16,
11,6058632937,주식회사 타키온정보기술,이건조,분석,111242000,85.0,88.495,85.673,-3.4024 (96.5976),8 4,2022/08/23 09:20:57,
12,1198158412,애드넷정보통신(주),박상흥,분석,111254700,85.0,88.506,85.683,-3.3914 (96.6086),14 5,2022/08/23 18:19:33,
13,1128152663,한국아이디정보(주),송찬호,분석,111277315,85.0,88.524,85.7,-3.3717 (96.6283),10 9,2022/08/25 09:32:12,
14,2048620636,(주)유시스,이경재,분석,111279300,85.0,88.526,85.702,-3.3700 (96.63),15 12,2022/08/22 17:44:45,
15,1018116968,(주)넥슨정보통신,신양인,분석,111294630,85.0,88.539,85.714,-3.3567 (96.6433),15 13,2022/08/24 16:59:33,
16,1118126196,(주)광성통신,김성철,분석,111302280,85.0,88.545,85.72,-3.3501 (96.6499),8 3,2022/08/24 15:56:20,
17,1108140593,(주)대건이엔씨,이황희,분석,111304790,85.0,88.547,85.721,-3.3479 (96.6521),1 6,2022/08/24 15:01:50,
18,2068179706,(주)씨엠유니버샬,전재용,분석,111315535,85.0,88.556,85.73,-3.3386 (96.6614),11 5,2022/08/23 09:26:37,
19,1098162433,광명정보통신 주식회사,김형준,분석,111322679,85.0,88.562,85.735,-3.3324 (96.6676),2 1,2022/08/24 13:42:07,
20,1238135136,(주)청남통신,최재언,분석,111333000,85.0,88.57,85.743,-3.3234 (96.6766),12 5,2022/08/22 11:13:50,
21,2158774589,주식회사 스카이코어,최명훈,분석,111351363,85.0,88.585,85.757,-3.3074 (96.6926),14 15,2022/08/24 09:32:20,
22,1108175113,이에스콘트롤스 (주),김영준,분석,111374631,85.0,88.605,85.775,-3.2872 (96.7128),1 12,2022/08/25 08:36:10,
23,5138100034,주식회사 비엔지티,조상환,분석,111381032,85.0,88.61,85.78,-3.2817 (96.7183),1 3,2022/08/22 15:03:10,
24,1078749469,주식회사 에이엠네트웍스,서정희,분석,111388789,85.0,88.616,85.786,-3.2750 (96.725),14 9,2022/08/25 09:54:07,
