순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
44,1058611510,이노테크놀로지(주),장기배,분석,57218972,85.0,89.33,89.377,-0.5613 (99.4387),2 11,2022/10/06 09:39:38,
45,1118114477,주식회사 대흥데이타통신,박상영,분석,57220528,85.0,89.332,89.379,-0.5585 (99.4415),5 8,2022/10/05 12:53:15,
46,1058178229,아마노코리아(주),전명진,분석,57223110,85.0,89.337,89.383,-0.5541 (99.4459),8 9,2022/10/07 09:06:26,
47,2618126604,주식회사 래오시스,윤경,분석,57223580,85.0,89.337,89.384,-0.5532 (99.4468),1 13,2022/10/05 19:22:44,
48,2188120741,케이씨티정보통신(주),백형은,분석,57224326,85.0,89.339,89.385,-0.5519 (99.4481),15 1,2022/10/07 08:43:15,
49,1178186611,주식회사 에프에이일렉콤,박인숙,분석,57224337,85.0,89.339,89.385,-0.5519 (99.4481),15 5,2022/10/06 22:41:32,
50,2158620617,미디어텔레콤(주),김용대,분석,57225909,85.0,89.341,89.388,-0.5492 (99.4508),13 15,2022/10/06 20:46:05,
51,1078764946,아토리서치 주식회사,정재웅,분석,57226809,85.0,89.343,89.389,-0.5476 (99.4524),1 7,2022/10/07 04:56:41,
52,2208804175,주식회사 예준시스템,이인애,분석,57228190,85.0,89.345,89.391,-0.5452 (99.4548),15 1,2022/10/07 09:25:59,
53,1058740405,(주)화성이엔지,김택환,분석,57228871,85.0,89.346,89.392,-0.5440 (99.456),12 6,2022/10/05 14:55:21,
54,1088122724,영진정보통신주식회사,김영식,분석,57229110,85.0,89.347,89.393,-0.5436 (99.4564),12 7,2022/10/05 19:28:03,
55,1138135425,(주)뉴넷팝,이경택,분석,57232314,85.0,89.352,89.398,-0.5381 (99.4619),14 1,2022/10/06 10:31:57,
56,1138640850,주식회사 우솔네트웍스,유상열,분석,57232790,85.0,89.353,89.398,-0.5372 (99.4628),5 7,2022/10/06 11:12:46,
57,1018144159,주식회사 넥선,박민호,분석,57235660,85.0,89.358,89.403,-0.5323 (99.4677),12 13,2022/10/05 12:57:56,
58,1018675701,주식회사 두이정보통신,정영희,분석,57236545,85.0,89.359,89.404,-0.5307 (99.4693),12 13,2022/10/05 17:14:14,
59,2158661490,(주)이베이테크,황경구,분석,57237390,85.0,89.361,89.406,-0.5292 (99.4708),10 3,2022/10/06 10:38:07,
60,1268620622,(주)엑스코하이텍,박정현,분석,57238020,85.0,89.362,89.407,-0.5281 (99.4719),2 15,2022/10/05 13:53:44,
61,1088154468,(주)이젠정보통신,이동필,분석,57242000,85.0,89.368,89.413,-0.5212 (99.4788),6 15,2022/10/06 18:02:54,
62,1138615875,뮤지엄아이주식회사,김영훈,분석,57243200,85.0,89.37,89.415,-0.5191 (99.4809),7 9,2022/10/07 08:25:19,
63,2208726454,한국랜트로비젼(주),조병진,분석,57243545,85.0,89.371,89.415,-0.5185 (99.4815),9 14,2022/10/05 14:18:50,
64,1138185963,주식회사 스마트메카,이명주,분석,57244140,85.0,89.372,89.416,-0.5175 (99.4825),1 11,2022/10/05 11:32:19,
65,1148182595,주식회사 싸인텔레콤,박영기,분석,57244523,85.0,89.373,89.417,-0.5168 (99.4832),15 1,2022/10/07 09:28:55,
66,1018642796,주식회사 나이스포유,조향심,분석,57244897,85.0,89.373,89.417,-0.5162 (99.4838),7 14,2022/10/06 15:41:16,
67,1198687872,주식회사 스타버킷,김영섭,분석,57246600,85.0,89.376,89.42,-0.5132 (99.4868),1 2,2022/10/05 10:01:12,
68,2158691790,에이브이에스텍(주),박주영,분석,57250047,85.0,89.382,89.425,-0.5072 (99.4928),9 4,2022/10/06 08:29:57,
69,1200295066,비젼텔레콤,임의석,분석,57250637,85.0,89.383,89.426,-0.5062 (99.4938),15 7,2022/10/07 05:49:41,
70,1068611721,우리보안 주식회사,이명재,분석,57251148,85.0,89.384,89.427,-0.5053 (99.4947),12 9,2022/10/07 08:07:54,
71,1018138303,주식회사 비엘에스,안홍서,분석,57251200,85.0,89.384,89.427,-0.5052 (99.4948),2 9,2022/10/07 08:30:26,
72,1188117816,(주)영원정보통신,전춘식,분석,57251716,85.0,89.385,89.428,-0.5043 (99.4957),2 7,2022/10/05 10:06:26,
73,2290162579,우성전기통신,박노선,분석,57253098,85.0,89.387,89.43,-0.5019 (99.4981),2 14,2022/10/05 16:41:05,
74,4178600013,블랙썬 주식회사,이희부,분석,57253380,85.0,89.387,89.431,-0.5015 (99.4985),7 4,2022/10/07 09:09:07,
75,2098133747,(주)한국에스알테크,이재호,분석,57255053,85.0,89.39,89.433,-0.4985 (99.5015),9 3,2022/10/06 09:56:33,
76,2048610496,주식회사 김스애드,김진희,분석,57256031,85.0,89.392,89.435,-0.4968 (99.5032),12 7,2022/10/06 09:33:52,
77,1098155422,창공정보통신 주식회사,김배명,분석,57256952,85.0,89.394,89.436,-0.4952 (99.5048),1 15,2022/10/06 15:11:05,
78,1018154491,엘케이테크넷(주),이만형,분석,57259081,85.0,89.397,89.439,-0.4915 (99.5085),7 12,2022/10/05 11:18:38,
79,2068120414,(주)일광기업,오도진,분석,57260134,85.0,89.399,89.441,-0.4897 (99.5103),12 10,2022/10/06 08:41:47,
80,1138169250,코리아이지텔주식회사,임규학,분석,57262936,85.0,89.404,89.445,-0.4848 (99.5152),1 5,2022/10/05 10:21:45,
81,1138640864,주식회사 지앤씨씨,정연진,분석,57266000,85.0,89.409,89.45,-0.4795 (99.5205),10 15,2022/10/06 13:56:26,
82,1120180788,대성미디어,김상봉,분석,57267422,85.0,89.411,89.452,-0.4771 (99.5229),13 12,2022/10/06 07:19:47,
83,1198642201,주식회사 한일이앤씨,황유경,분석,57268501,85.0,89.413,89.454,-0.4752 (99.5248),8 6,2022/10/06 10:36:53,
84,1058221062,사단법인 대한장애인복지협회,박재환,분석,57268900,85.0,89.414,89.455,-0.4745 (99.5255),5 6,2022/10/07 09:29:53,
85,1288618438,주식회사 엔지스웨이,최영재,분석,57272366,85.0,89.419,89.46,-0.4685 (99.5315),4 12,2022/10/06 16:11:49,
86,1358602759,주식회사 케이씨이이앤씨,손종광,분석,57272703,85.0,89.42,89.461,-0.4679 (99.5321),8 5,2022/10/06 10:09:56,
87,1108164858,(주)에스에이정보기술,김성빈,분석,57273630,85.0,89.422,89.462,-0.4663 (99.5337),11 8,2022/10/07 09:46:43,
88,1198179983,(주)에이피텔,조광숙,분석,57273810,85.0,89.422,89.462,-0.4660 (99.534),5 4,2022/10/05 18:49:26,
89,1188120761,(주)동화이엔씨,이재원,분석,57276114,85.0,89.426,89.466,-0.4619 (99.5381),11 12,2022/10/06 11:19:08,
90,1098603050,(주)이루기술,박지현,분석,57276862,85.0,89.427,89.467,-0.4606 (99.5394),11 12,2022/10/06 11:03:07,
91,1138180712,(주)재신정보,한정규,분석,57278095,85.0,89.429,89.469,-0.4585 (99.5415),3 13,2022/10/06 11:15:49,
92,6618702691,(주)대창일렉스,송효양,분석,57281915,85.0,89.436,89.475,-0.4519 (99.5481),8 14,2022/10/07 09:13:05,
