순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
50,2076666370,진양전력공사,김재근,분석,117044500,87.919,87.513,-0.26357 (99.73643),,2015/07/07 08:56:21,
51,2158168163,블루엔이(주),정홍채,분석,117052790,87.925,87.519,-0.25651 (99.74349),,2015/07/07 13:01:22,
52,1058662080,주식회사 호재전력,윤재봉,분석,117054656,87.926,87.521,-0.25492 (99.74508),,2015/07/08 14:28:36,
53,2128171733,(주)성보전기,이보균,분석,117060670,87.931,87.525,-0.24979 (99.75021),,2015/07/08 09:10:56,
54,10981*****,(주)공항엔지니어링,이은순,분석,117061240,87.931,87.526,-0.24931 (99.75069),,2015/07/08 18:03:29,
55,2103478551,오성전력(주),박재형,분석,117063560,87.933,87.527,-0.24733 (99.75267),,2015/07/07 15:08:49,
56,2068625393,(주)성림전설,박상동,분석,117068048,87.936,87.531,-0.24350 (99.7565),,2015/07/06 13:32:26,
57,2048109261,영한산업(주),권태인,분석,117070000,87.938,87.532,-0.24184 (99.75816),,2015/07/08 17:50:39,
58,2158621601,주식회사대륭전력통신,정병구,분석,117076850,87.943,87.537,-0.23600 (99.764),,2015/07/08 12:09:08,
59,10181*****,대한기술용역(주),곽상인,분석,117083420,87.948,87.542,-0.23041 (99.76959),,2015/07/09 08:24:16,
60,1058672201,유니테크전설(주),최미숙,분석,117086580,87.95,87.545,-0.22771 (99.77229),,2015/07/08 19:13:05,
61,1208117027,세안이엔씨 주식회사,이은상,분석,117097740,87.959,87.553,-0.21820 (99.7818),,2015/07/09 09:14:57,
62,2068611657,(주)평해기전,김인자,분석,117102400,87.962,87.557,-0.21423 (99.78577),,2015/07/09 09:04:26,
63,2010440466,원진전력(주),이희동,분석,117130713,87.983,87.578,-0.19011 (99.80989),,2015/07/08 09:55:00,
64,6088171744,주식회사 성민이엔에프,박성도,분석,117140200,87.991,87.585,-0.18202 (99.81798),,2015/07/07 15:41:56,
65,2098121862,거우전설주식회사,김영훈,분석,117149415,87.997,87.592,-0.17417 (99.82583),,2015/07/08 13:18:41,
66,2068184285,주식회사 진명파워택,이명규,분석,117150660,87.998,87.593,-0.17311 (99.82689),,2015/07/09 09:26:21,
67,1068199682,(주)광도전기통신공사,정학철,분석,117154302,88.001,87.595,-0.17001 (99.82999),,2015/07/07 12:59:20,
68,1198165586,제이케이앤티텔레콤(주),전찬화,분석,117166859,88.011,87.605,-0.15930 (99.8407),,2015/07/06 11:59:37,
69,1088177030,신정전력주식회사,서규석,분석,117169400,88.012,87.607,-0.15714 (99.84286),,2015/07/08 22:38:28,
70,2098140724,육일전력(주),박봉기,분석,117181030,88.021,87.615,-0.14723 (99.85277),,2015/07/08 16:36:19,
71,1068684748,주식회사고도기술,고동현,분석,117184580,88.024,87.618,-0.14420 (99.8558),,2015/07/08 13:20:01,
72,1071450434,성용이앤씨,박용경,분석,117189390,88.027,87.622,-0.14011 (99.85989),,2015/07/08 15:00:15,
73,2148123348,성제전기(주),김팔성,분석,117196316,88.033,87.627,-0.13420 (99.8658),,2015/07/09 09:09:16,
74,21487*****,주식회사 보림프러스,김병관,분석,117200071,88.035,87.63,-0.13100 (99.869),,2015/07/09 09:53:54,
