순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1078636517,주식회사 국일이앤씨  [최종낙찰],서남석,분석,146315294,76.2,87.812,87.119,-1.72555 (98.27445),11 2,2020/12/07 03:16:28,
2,1098120807,(주)케이비에스비즈니스,김의철,분석,146352799,76.8,87.837,87.141,-1.70010 (98.2999),5 15,2020/12/07 08:54:13,
3,1198632979,성민전기 주식회사,김미영,분석,146352940,76.8,87.837,87.141,-1.70001 (98.29999),7 4,2020/12/07 02:59:59,
4,5568600846,주식회사 아이콘정보통신,박종일,분석,146378145,77.0,87.853,87.156,-1.68290 (98.3171),4 15,2020/12/06 21:38:44,
5,3738701418,주식회사 에스비넷,전막동,분석,146408640,77.4,87.873,87.174,-1.66221 (98.33779),6 4,2020/12/03 10:14:15,
6,2118895916,주식회사 지오통신,김영송,분석,146412330,77.6,87.876,87.176,-1.65971 (98.34029),1 3,2020/12/03 14:47:48,
7,1178158978,주식회사 화일이엔에프,박광섭,분석,146439780,77.8,87.894,87.193,-1.64108 (98.35892),12 2,2020/12/04 15:41:42,
8,2048182831,주식회사 세명에스엠지,장병철,분석,146473000,78.4,87.915,87.213,-1.61854 (98.38146),9 4,2020/12/04 09:21:18,
9,6058632937,주식회사 타키온정보기술,이건조,분석,146495890,78.6,87.93,87.226,-1.60301 (98.39699),4 11,2020/12/07 12:37:14,
10,2058126448,주식회사 순성이엔씨,양재희,분석,146512025,78.8,87.941,87.236,-1.59206 (98.40794),1 4,2020/12/03 14:03:16,
11,1138169250,코리아이지텔주식회사,임규학,분석,146545110,79.2,87.963,87.255,-1.56961 (98.43039),7 5,2020/12/04 13:44:29,
12,1018139321,(주)세웅정보통신,장우진,분석,146604640,80.0,88.002,87.291,-1.52921 (98.47079),6 11,2020/12/03 09:02:34,
13,2208615417,마인드원 주식회사,차희원,분석,146649000,79.4,88.031,87.317,-1.49911 (98.50089),7 4,2020/12/07 08:26:03,
14,1138629821,동문이엔티 주식회사,송요일,분석,146662560,79.2,88.04,87.325,-1.48991 (98.51009),4 10,2020/12/07 09:15:15,
15,2158770996,엠코어넷 주식회사,김명경,분석,146723277,78.4,88.079,87.362,-1.44870 (98.5513),6 14,2020/12/04 13:31:36,
16,8178800099,(주)대성오토텍,신미금,분석,146736540,78.2,88.088,87.369,-1.43970 (98.5603),1 10,2020/12/07 08:06:49,
17,2048644152,신해공영주식회사,이종범,분석,146766900,77.8,88.108,87.388,-1.41910 (98.5809),3 11,2020/12/04 09:28:19,
18,1068178902,주식회사 티에스아이티,박용수,분석,146767357,77.8,88.108,87.388,-1.41879 (98.58121),7 3,2020/12/05 10:37:08,
19,2198111833,주식회사 대영아이오티,전인구,분석,146813907,77.2,88.139,87.415,-1.38721 (98.61279),8 14,2020/12/03 17:53:47,
20,2198116973,건아정보기술 주식회사,심광호,분석,146814939,77.2,88.139,87.416,-1.38650 (98.6135),9 4,2020/12/04 13:48:33,
21,1148137386,(주)유일엔지니어링,신영호,분석,146824999,77.0,88.146,87.422,-1.37968 (98.62032),13 12,2020/12/04 16:21:09,
22,1108172440,주식회사 다보파워코리아,강희철,분석,146829382,77.0,88.149,87.425,-1.37670 (98.6233),2 15,2020/12/04 17:24:44,
23,2158637350,(주)주은정보시스템,이명열,분석,146844854,76.8,88.159,87.434,-1.36621 (98.63379),3 11,2020/12/04 10:23:18,
24,1098143173,에이스건설 주식회사,권보식,분석,146854400,76.6,88.165,87.44,-1.35973 (98.64027),12 3,2020/12/07 09:26:38,
25,1098617947,(주)소망아이앤티,서창숙,분석,146888622,76.2,88.187,87.46,-1.33650 (98.6635),5 13,2020/12/04 15:13:05,
26,1068608755,(주)디제이티,차시환,분석,146919716,75.8,88.208,87.478,-1.31541 (98.68459),9 1,2020/12/07 13:20:18,
27,2018179526,중앙케이블네트워크(주),노상우,분석,146931063,75.6,88.215,87.485,-1.30771 (98.69229),14 8,2020/12/04 10:01:35,
28,1088154468,(주)이젠정보통신,이동필,분석,146957148,75.4,88.232,87.501,-1.29000 (98.71),7 15,2020/12/06 03:33:52,
29,1138148366,주식회사 레이어스,조인선,분석,146965105,75.2,88.238,87.506,-1.28461 (98.71539),11 13,2020/12/04 08:09:23,
30,1108164858,(주)에스에이정보기술,김성빈,분석,146992221,75.0,88.255,87.522,-1.26620 (98.7338),8 10,2020/12/04 15:03:46,
31,2088100603,(주)전우사,김한재,분석,146996650,75.0,88.258,87.524,-1.26320 (98.7368),5 11,2020/12/03 14:45:17,
32,6078616291,케이시스 주식회사,김중섭,분석,147000000,75.0,88.26,87.526,-1.26093 (98.73907),5 6,2020/12/06 22:29:22,
33,6818700095,주식회사 진영이엔씨,조근호,분석,147018304,75.0,88.272,87.537,-1.24851 (98.75149),6 15,2020/12/04 10:42:48,
34,1078679665,(주)젤루텍,이두규,분석,147022873,75.0,88.275,87.54,-1.24540 (98.7546),4 5,2020/12/07 09:35:13,
35,6118600013,주식회사 위드넷,장성일,분석,147034220,75.0,88.283,87.547,-1.23770 (98.7623),14 1,2020/12/04 13:45:58,
36,2148186794,주식회사 리트코,정종경,분석,147058560,75.0,88.299,87.561,-1.22119 (98.77881),2 9,2020/12/07 10:03:16,
37,1068178635,(주)지아이테크놀러지,홍영우,분석,147065700,75.0,88.303,87.565,-1.21634 (98.78366),7 13,2020/12/04 14:38:02,
38,2148107988,(주)서울정보시스템,이문현,분석,147074800,75.0,88.309,87.571,-1.21017 (98.78983),9 7,2020/12/02 12:56:31,
39,2298119166,(주)삼영기업,금동흠,분석,147086400,75.0,88.317,87.578,-1.20230 (98.7977),1 14,2020/12/04 14:30:57,
40,1108176581,주식회사 비에스텍,윤희주,분석,147089336,75.0,88.319,87.579,-1.20030 (98.7997),4 12,2020/12/07 09:33:04,
41,2208136760,동아정보통신(주),박동근,분석,147093000,75.0,88.321,87.582,-1.19782 (98.80218),1 14,2020/12/07 09:25:55,
42,2298134599,(주)시에나텔레콤,임종태,분석,147097583,75.0,88.324,87.584,-1.19471 (98.80529),10 13,2020/12/04 16:58:44,
43,1088195004,(주)한양케이앤이,김홍인,분석,147101272,75.0,88.327,87.587,-1.19220 (98.8078),13 15,2020/12/04 11:39:09,
44,2208886221,주식회사 지엔아이티,윤상병,분석,147116784,75.0,88.337,87.596,-1.18168 (98.81832),10 15,2020/12/02 13:07:03,
45,2148811443,(주)우신지엘에스,문경종,분석,147131777,75.0,88.347,87.605,-1.17150 (98.8285),11 8,2020/12/04 10:18:37,
46,4468801407,(주)큐엔큐,정정행,분석,147132955,75.0,88.347,87.605,-1.17071 (98.82929),9 14,2020/12/02 15:13:30,
47,1148600716,유티모스트아이엔에스(주),박흥태,분석,147135313,75.0,88.349,87.607,-1.16911 (98.83089),11 6,2020/12/04 16:38:30,
48,1208659755,(주)정운정보통신,곽덕문,분석,147151966,75.0,88.36,87.617,-1.15780 (98.8422),8 14,2020/12/04 07:33:33,
49,1208817900,주식회사 에이앤티플러스,김은아,분석,147154766,75.0,88.362,87.618,-1.15590 (98.8441),10 13,2020/12/04 09:57:13,
50,1068678514,주식회사 인프라이엔씨,김병훈,분석,147166700,75.0,88.37,87.626,-1.14781 (98.85219),8 2,2020/12/03 09:48:53,
51,1048610901,이룸유비쿼터스주식회사,김광수,분석,147168618,75.0,88.371,87.627,-1.14651 (98.85349),10 3,2020/12/04 15:53:28,
52,1178188899,주식회사 시큐렉스,최영희,분석,147178050,75.0,88.377,87.632,-1.14010 (98.8599),11 10,2020/12/07 09:39:24,
53,7188100420,주식회사 오투정보통신,양성윤,분석,147178700,75.0,88.377,87.633,-1.13966 (98.86034),9 12,2020/12/02 18:42:10,
54,1198633186,주식회사 티에스솔루션,주성규,분석,147180850,75.0,88.379,87.634,-1.13820 (98.8618),5 10,2020/12/04 11:03:26,
55,1108175113,이에스콘트롤스 (주),김영준,분석,147183355,75.0,88.38,87.635,-1.13650 (98.8635),8 3,2020/12/03 10:06:41,
56,2098134713,키엔컴 주식회사,최성덕,분석,147186677,75.0,88.383,87.637,-1.13425 (98.86575),2 3,2020/12/07 09:43:27,
57,2158623647,시공전설(주),황호진,분석,147191171,75.0,88.386,87.64,-1.13120 (98.8688),5 9,2020/12/07 09:54:06,
58,1098197140,(주)코맥스시큐리티,김종정,분석,147191902,75.0,88.386,87.641,-1.13071 (98.86929),5 15,2020/12/07 09:29:47,
59,1088181548,디에스지엔 주식회사,신재범,분석,147210103,75.0,88.398,87.651,-1.11835 (98.88165),13 3,2020/12/07 13:28:36,
60,6508100027,다온정보시스템 주식회사,김연정,분석,147210323,75.0,88.398,87.652,-1.11820 (98.8818),5 11,2020/12/07 08:12:13,
