순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1068622913,석보이엔지주식회사  [최종낙찰],박진훈,분석,104364107,85.0,87.752,87.391,-1.28971 (98.71029),4 2,2021/10/06 08:46:00,
2,1148600716,유티모스트아이엔에스(주),박흥태,분석,104364526,85.0,87.752,87.392,-1.28931 (98.71069),10 13,2021/10/06 09:18:07,
3,1058179892,(주)지에스컴,김형호,분석,104372490,85.2,87.76,87.398,-1.28171 (98.71829),3 15,2021/10/05 09:06:04,
4,2118698428,테크노빌리지 주식회사,유인목,분석,104372595,85.2,87.76,87.398,-1.28160 (98.7184),9 4,2021/10/01 17:49:57,
5,2108131394,(주)안나시스템,문병조,분석,104375843,85.2,87.763,87.401,-1.27851 (98.72149),15 2,2021/10/01 22:15:21,
6,1088180573,다올정보기술주식회사,주재선,분석,104378010,85.4,87.765,87.403,-1.27644 (98.72356),6 4,2021/10/05 10:17:11,
7,1098610416,(주)네시비스,이은섭,분석,104390199,85.6,87.776,87.413,-1.26481 (98.73519),12 6,2021/10/05 12:11:31,
8,1098197140,(주)코맥스시큐리티,김종정,분석,104393552,85.6,87.779,87.416,-1.26161 (98.73839),12 9,2021/10/05 09:36:08,
9,2118193336,(주)국제비엠에스,윤도선,분석,104398791,85.6,87.784,87.42,-1.25661 (98.74339),3 15,2021/10/05 08:31:29,
10,1198605337,(주)신한이엔아이,유순자,분석,104402040,85.8,87.786,87.423,-1.25350 (98.7465),12 6,2021/10/04 17:05:55,
11,2048129194,위성이앤씨(주),이양숙,분석,104406441,85.8,87.79,87.427,-1.24930 (98.7507),12 3,2021/10/05 07:50:44,
12,1208612783,주식회사 나오디지탈,안병우,분석,104408117,85.8,87.792,87.428,-1.24771 (98.75229),4 13,2021/10/05 15:25:33,
13,1208609672,(주)디에스티인터내셔날,김형태,분석,104418282,86.0,87.801,87.437,-1.23800 (98.762),15 7,2021/10/01 15:33:41,
14,2148770450,주식회사 아리시스,이대섭,분석,104431170,86.2,87.813,87.447,-1.22571 (98.77429),15 11,2021/10/01 11:08:09,
15,4088168391,금상디엔씨주식회사,장용수,분석,104432113,86.2,87.814,87.448,-1.22481 (98.77519),15 6,2021/10/05 09:11:14,
16,1208635791,주식회사 피엔에이링크,박윤철,분석,104438080,86.4,87.819,87.453,-1.21911 (98.78089),6 5,2021/10/05 09:24:55,
17,1178153920,엠에스원디지털 주식회사,엄종만,분석,104438715,86.4,87.82,87.454,-1.21850 (98.7815),13 3,2021/10/05 18:22:25,
18,3058138619,(주)사이버텔브릿지,남백산,분석,104456425,86.8,87.836,87.469,-1.20160 (98.7984),3 8,2021/10/01 10:38:45,
19,1198164802,주식회사 비아이넷,김동균,분석,104458939,86.8,87.838,87.471,-1.19920 (98.8008),3 11,2021/10/05 14:02:33,
20,8028800189,주식회사 아이앤서브,박광열,분석,104468893,87.0,87.847,87.479,-1.18971 (98.81029),10 5,2021/10/05 19:27:50,
21,1048157783,(주)서울정보컴,고응준,분석,104470465,87.0,87.849,87.48,-1.18821 (98.81179),7 6,2021/10/01 13:14:08,
22,1198175027,(주)케이웍스,김영주,분석,104477695,87.2,87.855,87.486,-1.18131 (98.81869),10 1,2021/10/05 08:44:01,
23,1018183448,(주)에이치애비뉴앤컴퍼니,정현이,분석,104479791,87.2,87.857,87.488,-1.17930 (98.8207),5 8,2021/10/01 10:54:32,
24,2048644152,신해공영주식회사,이종범,분석,104486900,87.2,87.863,87.494,-1.17252 (98.82748),1 8,2021/10/05 13:36:43,
25,2208108546,경림전기(주),김인형,분석,104488280,87.4,87.865,87.495,-1.17120 (98.8288),5 1,2021/10/05 14:07:40,
26,1188119624,탑정보통신(주),오영권,분석,104492889,87.4,87.869,87.499,-1.16681 (98.83319),4 10,2021/10/06 08:37:49,
27,1058714080,(주) 한일이앤에스,박완교,분석,104493204,87.4,87.869,87.499,-1.16650 (98.8335),14 2,2021/10/05 16:19:01,
28,1298627304,(주)진네트웍스,이호진,분석,104505568,87.6,87.88,87.51,-1.15471 (98.84529),14 3,2021/10/05 17:17:31,
29,1088179663,주식회사 시큐뱅크,심재춘,분석,104510490,87.8,87.885,87.514,-1.15001 (98.84999),1 9,2021/10/05 08:51:55,
30,2108170441,주식회사 에이원아이티,문계숙,분석,104512903,87.8,87.887,87.516,-1.14771 (98.85229),4 9,2021/10/05 10:32:52,
31,2048124559,(주)대용와트스,남상태,분석,104518458,87.8,87.892,87.521,-1.14240 (98.8576),7 12,2021/10/05 09:25:47,
32,1168169996,세리정보기술 주식회사,이금모,분석,104521286,88.0,87.895,87.523,-1.13971 (98.86029),5 3,2021/10/06 09:27:27,
33,2200197668,엘지전기통신,하배용,분석,104521705,88.0,87.895,87.523,-1.13931 (98.86069),1 7,2021/10/06 07:18:57,
34,2098122745,새결정보통신(주),고성진,분석,104523068,88.0,87.896,87.524,-1.13800 (98.862),15 3,2021/10/01 16:58:50,
35,1078167709,온세텔레콤(주),박준학,분석,104525370,88.0,87.898,87.526,-1.13581 (98.86419),12 9,2021/10/05 09:07:55,
36,2290162579,우성전기통신,박노선,분석,104535118,88.2,87.907,87.534,-1.12650 (98.8735),7 2,2021/10/05 13:11:12,
37,2158637350,(주)주은정보시스템,이명열,분석,104535432,88.2,87.907,87.535,-1.12621 (98.87379),13 7,2021/10/06 09:10:04,
38,2098130809,(주)엔트립,최종국,분석,104536120,88.2,87.908,87.535,-1.12555 (98.87445),15 9,2021/10/01 10:35:09,
