순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1368108673,삼덕전기(주),홍미정,분석,75853482,87.945,87.187,-0.86087 (99.13913),14 1,2021/05/18 10:31:00,
2,1188100203,株式會社 協成機電 (주식회사 협성기전),김경현,분석,75862660,87.956,87.198,-0.84888 (99.15112),8 10,2021/05/18 16:01:34,
3,1278612810,(주)가온테크,장양순,분석,75891913,87.99,87.232,-0.81064 (99.18936),12 9,2021/05/20 00:45:47,
4,2148619081,주식회사 유신테크,김용근,분석,75999550,88.114,87.355,-0.66996 (99.33004),14 3,2021/05/17 17:31:18,
5,6158700370,꿈동산장애인표준사업장 주식회사,권오현,분석,76009960,88.126,87.367,-0.65636 (99.34364),2 14,2021/05/17 20:23:41,
6,2108124739,(주)한성기술개발,서창식,분석,76010807,88.127,87.368,-0.65525 (99.34475),5 4,2021/05/20 01:55:27,
7,1388174015,주식회사 수리이엔씨,정종구,분석,76081920,88.21,87.45,-0.56231 (99.43769),1 15,2021/05/18 09:47:07,
8,2198114499,(주)이레에너지테크,강래원,분석,76087800,88.217,87.457,-0.55462 (99.44538),13 9,2021/05/18 09:18:42,
9,1358118222,주식회사 진광건설엔지니어링,오명훈,분석,76095780,88.226,87.466,-0.54419 (99.45581),15 5,2021/05/20 09:11:07,
10,1198601520,주식회사 에스에이치아이앤씨,장덕진,분석,76113360,88.246,87.486,-0.52122 (99.47878),4 8,2021/05/18 08:23:08,
11,1138141835,주식회사 고려티에스아이,이중석,분석,76131300,88.267,87.507,-0.49777 (99.50223),3 8,2021/05/17 10:10:10,
12,2048143105,(주)대청시스템스,김봉국,분석,76181500,88.325,87.564,-0.43216 (99.56784),11 10,2021/05/17 11:39:18,
13,5358601509,주식회사 다온테크놀로지,정재성,분석,76184050,88.328,87.567,-0.42883 (99.57117),14 5,2021/05/17 14:18:41,
14,1268150363,주식회사 진엔지니어링,김용남,분석,76235899,88.388,87.627,-0.36106 (99.63894),11 4,2021/05/18 13:02:13,
15,2198107469,하나이앤지 주식회사,이명우,분석,76259950,88.416,87.655,-0.32963 (99.67037),6 12,2021/05/18 10:48:33,
16,1138146387,(주)대산시스템,전재수,분석,76259990,88.416,87.655,-0.32957 (99.67043),6 3,2021/05/20 09:08:12,
17,1198165489,주식회사 한국아이오티기술원,최창규,분석,76289540,88.451,87.689,-0.29095 (99.70905),6 11,2021/05/18 09:20:55,
18,3858700315,주식회사 청호테크,정순애,분석,76329439,88.497,87.734,-0.23880 (99.7612),6 3,2021/05/17 10:11:12,
19,1058649262,주식회사 노하우전기통신,임창배,분석,76337850,88.507,87.744,-0.22781 (99.77219),13 15,2021/05/17 10:08:05,
20,1268138883,(주) 대신피아이씨,이성원,분석,76345500,88.515,87.753,-0.21781 (99.78219),1 13,2021/05/18 09:20:47,
21,2128144463,동양비엠에스(주),김태수,분석,76345660,88.516,87.753,-0.21760 (99.7824),10 9,2021/05/17 11:15:14,
22,1188117437,탑인더스트리(주),이정임,분석,76354650,88.526,87.763,-0.20585 (99.79415),14 5,2021/05/20 09:52:40,
23,1388173466,주식회사 이피에스이앤이,박변주,분석,76360810,88.533,87.771,-0.19780 (99.8022),9 10,2021/05/18 09:36:21,
24,2338109798,구스텍 주식회사,고중선,분석,76376120,88.551,87.788,-0.17779 (99.82221),3 2,2021/05/17 17:33:09,
25,2208200181,사회복지법인한국청각장애인복지회,심계원,분석,76386000,88.562,87.8,-0.16488 (99.83512),8 2,2021/05/17 10:22:50,
26,2158629205,보은용사촌 주식회사,양운영,분석,76395040,88.573,87.81,-0.15307 (99.84693),10 13,2021/05/18 07:50:53,
27,1408131756,주식회사 엑스큐시스템,이기영,분석,76399550,88.578,87.815,-0.14717 (99.85283),14 4,2021/05/17 14:18:19,
28,1308651686,주식회사 미래로택,이승규,분석,76404000,88.583,87.82,-0.14136 (99.85864),10 15,2021/05/17 15:04:08,
