순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1058179892,(주)지에스컴  [최종낙찰],김형호,분석,183439069,75.0,87.749,86.765,-1.11660 (98.8834),5 15,2018/07/20 09:43:16,
2,1138163218,(주)신성하이텍,성성모,분석,183457700,75.2,87.758,86.774,-1.10656 (98.89344),11 1,2018/07/25 10:17:36,
3,3978800241,이지엔지니어링 주식회사,이재관,분석,183465226,75.2,87.762,86.777,-1.10250 (98.8975),11 8,2018/07/24 23:53:54,
4,1068627989,(주)큐엔아이텍,주일권,분석,183465230,75.2,87.762,86.777,-1.10250 (98.8975),3 10,2018/07/25 13:10:13,
5,2208680918,(주)엠디엠알,이재원,분석,183478768,75.4,87.768,86.784,-1.09521 (98.90479),14 5,2018/07/25 15:47:22,
6,2148811443,(주)우신지엘에스,문경종,분석,183494537,75.6,87.776,86.791,-1.08670 (98.9133),4 5,2018/07/23 09:55:13,
7,1068619761,(주) 한걸음정보통신,정진원,분석,183499916,75.6,87.778,86.794,-1.08381 (98.91619),7 12,2018/07/23 20:04:27,
8,1078167709,온세텔레콤(주),박준학,분석,183514943,75.8,87.786,86.801,-1.07570 (98.9243),14 10,2018/07/24 15:43:27,
9,1138618789,이노뎁(주),이성진,분석,183533494,75.8,87.794,86.809,-1.06570 (98.9343),2 13,2018/07/25 08:22:58,
10,2018190031,주식회사 태건씨앤씨,김복수,분석,183538130,76.0,87.797,86.812,-1.06321 (98.93679),9 14,2018/07/24 13:12:18,
11,1138151895,주식회사 온리정보통신,김서규,분석,183550995,76.0,87.803,86.818,-1.05627 (98.94373),9 1,2018/07/25 16:30:44,
12,2158171237,(주)모빌텍,오승환,분석,183552972,76.0,87.804,86.819,-1.05521 (98.94479),10 1,2018/07/24 11:54:28,
13,2148122316,금송전기(주),신중현,분석,183556700,76.2,87.806,86.82,-1.05320 (98.9468),12 1,2018/07/23 13:22:08,
14,1138627255,브렉셀주식회사,이영우,분석,183558540,76.2,87.806,86.821,-1.05220 (98.9478),9 14,2018/07/26 10:06:42,
15,2088100603,(주)전우사,김한재,분석,183560570,76.2,87.807,86.822,-1.05111 (98.94889),15 8,2018/07/25 14:07:09,
16,1074968483,국제정보통신,조광자,분석,183561367,76.2,87.808,86.823,-1.05068 (98.94932),2 7,2018/07/19 15:39:37,
17,2298117246,투빅스(주),김정란,분석,183570596,76.2,87.812,86.827,-1.04570 (98.9543),1 13,2018/07/23 12:21:17,
18,1188119624,탑정보통신(주),오영권,분석,183575230,76.2,87.814,86.829,-1.04321 (98.95679),7 12,2018/07/24 08:54:14,
19,1120180788,대성미디어,김상봉,분석,183575234,76.2,87.814,86.829,-1.04320 (98.9568),8 4,2018/07/23 10:37:07,
20,1188108054,대한신호(주),안종석,분석,183576718,76.4,87.815,86.83,-1.04240 (98.9576),4 15,2018/07/25 18:13:28,
21,1101185132,메이폴정보통신,박용진,분석,183584509,76.4,87.819,86.834,-1.03821 (98.96179),1 3,2018/07/25 01:50:02,
22,2178135988,주식회사 조은정보,조용정,분석,183599160,76.6,87.826,86.84,-1.03031 (98.96969),15 7,2018/07/23 16:27:04,
23,1178188899,주식회사 시큐렉스,최영희,분석,183599360,76.6,87.826,86.841,-1.03020 (98.9698),4 6,2018/07/26 10:02:21,
24,4538100144,주식회사 파란아이티,박관우,분석,183605300,76.6,87.829,86.843,-1.02700 (98.973),4 15,2018/07/25 18:43:48,
25,1198638672,신아네트웍스 주식회사,마윤정,분석,183612336,76.6,87.832,86.847,-1.02320 (98.9768),1 4,2018/07/24 17:22:28,
26,2208176739,(주)케이써비스,이난희,분석,183612340,76.6,87.832,86.847,-1.02320 (98.9768),2 4,2018/07/23 18:57:02,
27,1058605740,국제텔레시스(주),박병헌,분석,183624570,76.8,87.838,86.852,-1.01661 (98.98339),5 6,2018/07/25 16:04:10,
28,2068124123,(주)세양텔레콤,김한섭,분석,183628011,76.8,87.84,86.854,-1.01476 (98.98524),3 10,2018/07/19 09:24:13,
29,2158168163,블루엔이(주),정홍채,분석,183631000,76.8,87.841,86.856,-1.01314 (98.98686),15 7,2018/07/23 16:33:39,
30,2208602950,(주)세연텔레콤,홍성일,분석,183632189,76.8,87.842,86.856,-1.01250 (98.9875),9 6,2018/07/19 09:42:59,
31,1048635974,주식회사 성원통신,송준형,분석,183638580,77.0,87.845,86.859,-1.00906 (98.99094),7 5,2018/07/26 08:22:06,
32,1068184554,(주)송화전기통신,고진홍,분석,183649440,77.0,87.85,86.864,-1.00320 (98.9968),5 11,2018/07/24 14:58:24,
33,2148668087,주식회사 네오티스,이운학,분석,183658530,77.0,87.854,86.869,-0.99830 (99.0017),9 8,2018/07/24 16:02:19,
34,1168137418,두레옵트로닉스 주식회사,최수현,분석,183658710,77.0,87.854,86.869,-0.99821 (99.00179),2 4,2018/07/23 18:21:55,
35,2141167760,세기정보통신,송재홍,분석,183675590,77.2,87.862,86.877,-0.98911 (99.01089),10 9,2018/07/25 15:25:57,
36,1058764538,주식회사 에스엔에스아이씨티,박성수,분석,183679120,77.2,87.864,86.878,-0.98720 (99.0128),8 5,2018/07/24 13:28:22,
37,1088179663,주식회사 시큐뱅크,심재춘,분석,183679491,77.2,87.864,86.878,-0.98700 (99.013),10 11,2018/07/24 16:36:54,
38,2068193673,지에스네트웍스(주),임동배,분석,183682830,77.4,87.866,86.88,-0.98520 (99.0148),5 6,2018/07/25 09:28:59,
39,2148777322,주식회사 보림프러스,김병관,분석,183684686,77.4,87.867,86.881,-0.98420 (99.0158),10 1,2018/07/26 09:24:12,
40,1198656229,주식회사 경진네트워크,김응환,분석,183686540,77.4,87.868,86.882,-0.98320 (99.0168),9 3,2018/07/25 16:48:38,
41,3148189882,주식회사 제이케이씨엔에스,이동호,분석,183697671,77.4,87.873,86.887,-0.97720 (99.0228),4 8,2018/07/25 10:54:45,
42,1058714080,(주) 한일이앤에스,박완교,분석,183698969,77.4,87.874,86.888,-0.97651 (99.02349),11 4,2018/07/24 16:28:49,
43,1298141752,에이플시스템즈(주),윤진경,분석,183710660,77.6,87.879,86.893,-0.97020 (99.0298),15 1,2018/07/24 13:46:17,
44,1168163954,삼이정보통신(주),김병수,분석,183716222,77.6,87.882,86.896,-0.96720 (99.0328),15 12,2018/07/25 12:45:36,
45,1068194348,(주)퓨젼아이앤씨,방극진,분석,183722715,77.8,87.885,86.899,-0.96370 (99.0363),9 11,2018/07/26 10:24:25,
46,1078128574,(주)대진정보텔레콤,경완수,분석,183724570,77.8,87.886,86.9,-0.96270 (99.0373),1 15,2018/07/23 15:03:14,
47,1098613335,(주)준영시스템,임요웅,분석,183727170,77.8,87.887,86.901,-0.96130 (99.0387),5 1,2018/07/25 16:34:29,
48,2098133432,(주)가람씨앤씨,임승덕,분석,183733660,77.8,87.89,86.904,-0.95780 (99.0422),9 10,2018/07/25 09:17:23,
49,2148891087,세경네트웍스 주식회사,장중석,분석,183737560,77.8,87.892,86.906,-0.95570 (99.0443),8 3,2018/07/25 09:07:33,
50,1058760978,주식회사 빅오이,오재명,분석,183753693,78.0,87.9,86.914,-0.94701 (99.05299),6 7,2018/07/23 16:19:46,
51,1018644343,주식회사 세광이엔씨,장문주,분석,183758890,78.0,87.902,86.916,-0.94420 (99.0558),1 14,2018/07/24 10:32:42,
52,2108118504,보성전기산업(주),강준구,분석,183767900,78.2,87.907,86.92,-0.93935 (99.06065),5 8,2018/07/19 09:54:39,
53,1138111990,한경기전(주),박태용,분석,183768900,78.2,87.907,86.921,-0.93881 (99.06119),12 3,2018/07/26 08:17:19,
54,2118640396,주식회사 선진콘트롤 엔 엑세스,정항기,분석,183774471,78.2,87.91,86.923,-0.93581 (99.06419),12 10,2018/07/25 16:49:01,
55,2048639509,주식회사 대한유비텍,강성철,분석,183777250,78.2,87.911,86.925,-0.93431 (99.06569),13 9,2018/07/25 09:03:40,
56,1198118405,우광기전(주),이기진,분석,183780220,78.2,87.912,86.926,-0.93271 (99.06729),8 15,2018/07/26 08:32:40,
57,2068183592,(주)신광티앤이,이일환,분석,183794140,78.4,87.919,86.933,-0.92520 (99.0748),3 11,2018/07/23 17:12:23,
58,1108124633,(주)디앤에스테크놀로지,이원우,분석,183798032,78.4,87.921,86.935,-0.92310 (99.0769),1 10,2018/07/24 12:33:32,
59,2148161231,(주)유엔터스,이래철,분석,183798580,78.4,87.921,86.935,-0.92281 (99.07719),13 14,2018/07/26 08:29:41,
60,1178112521,한성정보기술(주),한병성,분석,183807921,78.6,87.926,86.939,-0.91777 (99.08223),4 12,2018/07/24 10:41:39,
61,1088184448,금산이씨엠에스 주식회사,김평재,분석,183810460,78.6,87.927,86.94,-0.91641 (99.08359),9 11,2018/07/24 17:16:13,
62,2208114219,서림기전개발(주),송석웅,분석,183816585,78.6,87.93,86.943,-0.91310 (99.0869),10 6,2018/07/26 08:58:00,
63,6318800044,화인씨엔이 주식회사,김영심,분석,183819394,78.6,87.931,86.945,-0.91159 (99.08841),14 1,2018/07/19 11:14:11,
64,1058619564,주식회사 다상테크,김춘기,분석,183827340,78.8,87.935,86.948,-0.90731 (99.09269),15 11,2018/07/25 09:21:48,
65,1088179135,주왕전기통신(주),장진섭,분석,183828830,78.8,87.936,86.949,-0.90650 (99.0935),1 2,2018/07/25 12:46:25,
66,1148714240,주식회사 유진21,박영숙,분석,183831424,78.8,87.937,86.95,-0.90510 (99.0949),6 13,2018/07/25 17:33:01,
67,1138156089,코아아이앤씨(주),김현모,분석,183838650,78.8,87.94,86.954,-0.90121 (99.09879),5 10,2018/07/26 09:34:03,
68,2068617141,(주)텔코아,황민석,분석,183839400,78.8,87.941,86.954,-0.90081 (99.09919),7 3,2018/07/25 09:08:30,
69,8228700717,주식회사 해나정보통신,이창현,분석,183840800,78.8,87.941,86.955,-0.90005 (99.09995),4 14,2018/07/24 10:57:04,
70,1068125614,(주)한국전자정보시스템,김흥주,분석,183844220,78.8,87.943,86.956,-0.89821 (99.10179),14 5,2018/07/26 09:40:24,
71,2148620370,주식회사 희망에어텍,황조연,분석,183866760,79.0,87.954,86.967,-0.88606 (99.11394),11 7,2018/07/25 08:32:06,
72,1138670451,주식회사 코스모티어,김명동,분석,183872421,79.2,87.957,86.97,-0.88301 (99.11699),13 6,2018/07/24 23:52:46,
73,2208882337,태암네트워크 주식회사,명재준,분석,183886149,79.2,87.963,86.976,-0.87561 (99.12439),4 8,2018/07/24 20:11:09,
74,4118146506,케이엠티시스템 주식회사,김정식,분석,183886230,79.2,87.963,86.976,-0.87556 (99.12444),13 6,2018/07/24 17:27:08,
75,2088115241,한애전자(주),최용경,분석,183887810,79.2,87.964,86.977,-0.87471 (99.12529),11 4,2018/07/20 09:52:11,
76,2128144255,경방전기통신(주),장기인,분석,183889118,79.4,87.965,86.978,-0.87400 (99.126),6 14,2018/07/25 09:25:16,
77,1038600899,동양유비스 주식회사,윤여정,분석,183890249,79.4,87.965,86.978,-0.87340 (99.1266),5 2,2018/07/24 18:16:19,
78,1068604045,솔텍인포넷 주식회사,이해진,분석,183896170,79.4,87.968,86.981,-0.87020 (99.1298),12 1,2018/07/24 09:30:34,
79,1138630143,주식회사일하유비넷,박상규,분석,183896400,79.4,87.968,86.981,-0.87008 (99.12992),15 10,2018/07/23 10:21:28,
80,1078682044,명승파워넷 주식회사,공건식,분석,183912680,79.6,87.976,86.989,-0.86130 (99.1387),15 5,2018/07/25 09:58:48,
81,1188111165,주식회사 세원이엔피디,이왕종,분석,183914160,79.6,87.977,86.989,-0.86051 (99.13949),7 9,2018/07/24 13:33:07,
82,1058814068,주식회사 한강통신건설,최문봉,분석,183916203,79.6,87.978,86.99,-0.85940 (99.1406),13 7,2018/07/25 10:20:15,
83,1068615668,(주)솔로몬기술단기술사사무소,한선미,분석,183920284,79.6,87.979,86.992,-0.85720 (99.1428),4 8,2018/07/25 09:19:47,
84,1198181214,엔텍월드주식회사,안병립,분석,183929060,79.6,87.984,86.997,-0.85247 (99.14753),11 14,2018/07/24 13:52:26,
85,2041077930,라인월드정보,박선양,분석,183935866,79.8,87.987,87.0,-0.84881 (99.15119),7 5,2018/07/23 15:12:36,
86,2158637350,(주)주은정보시스템,이명열,분석,183938092,79.8,87.988,87.001,-0.84761 (99.15239),11 6,2018/07/24 14:38:07,
87,1098133637,주식회사 화인컴,김창만,분석,183940500,79.8,87.989,87.002,-0.84631 (99.15369),2 6,2018/07/25 08:48:16,
88,1078756640,주식회사 링크씨앤아이,김대훈,분석,183946997,79.8,87.992,87.005,-0.84280 (99.1572),4 6,2018/07/24 23:35:24,
89,2208804175,주식회사 예준시스템,이인애,분석,183952172,80.0,87.995,87.007,-0.84002 (99.15998),6 12,2018/07/25 15:57:52,
90,8568800361,주식회사 우선기술,정우영,분석,183954417,80.0,87.996,87.008,-0.83881 (99.16119),9 2,2018/07/24 17:13:26,
91,1088193869,(주)동명텔레콤,김경은,분석,183959600,80.0,87.998,87.011,-0.83601 (99.16399),6 11,2018/07/25 08:51:35,
92,2158754394,씨스존 주식회사,정찬원,분석,183962770,80.0,88.0,87.012,-0.83430 (99.1657),3 7,2018/07/24 13:57:30,
93,2148767256,주식회사 미디어디바이스,김진식,분석,183967100,80.0,88.002,87.014,-0.83197 (99.16803),4 14,2018/07/25 15:02:07,
94,2048187419,(주)디지털우민,문장석,분석,183968520,80.0,88.003,87.015,-0.83120 (99.1688),6 8,2018/07/25 15:09:45,
95,2118836479,(주)에스피엔이,이정임,분석,183974638,79.8,88.005,87.018,-0.82790 (99.1721),15 13,2018/07/26 09:03:06,
96,1208128198,(주)포스메이트,손건재,분석,183975751,79.8,88.006,87.019,-0.82730 (99.1727),9 6,2018/07/24 17:25:04,
97,6058121041,(주)동양아이텔,황일신,분석,183979650,79.8,88.008,87.02,-0.82520 (99.1748),9 4,2018/07/24 09:29:07,
98,1328800173,난방산업 주식회사,강경옥,분석,184000000,79.6,88.018,87.03,-0.81423 (99.18577),5 7,2018/07/26 09:25:12,
99,2148620797,(주)세인씨앤씨,조정화,분석,184001724,79.6,88.018,87.031,-0.81330 (99.1867),4 1,2018/07/25 18:41:21,
100,1138180712,(주)재신정보,한정규,분석,184003206,79.6,88.019,87.032,-0.81251 (99.18749),8 13,2018/07/26 11:00:12,
101,1078746443,(주)라인테크놀로지,유현식,분석,184008042,79.6,88.021,87.034,-0.80990 (99.1901),4 3,2018/07/19 09:25:55,
102,2198123760,기찬정보통신(주),홍석기,분석,184013220,79.6,88.024,87.036,-0.80711 (99.19289),13 8,2018/07/24 20:35:44,
103,5168100542,주식회사 에이치투아이티,이희제,분석,184014520,79.4,88.025,87.037,-0.80641 (99.19359),14 7,2018/07/24 13:34:54,
104,5568600996,주영전자통신 주식회사,임채열,분석,184017310,79.4,88.026,87.038,-0.80490 (99.1951),15 13,2018/07/24 16:21:50,
105,2118168569,삼익정보통신(주),김진섭,분석,184018094,79.4,88.026,87.039,-0.80448 (99.19552),13 2,2018/07/20 13:12:21,
106,2048182831,주식회사 세명에스엠지,장병철,분석,184022129,79.4,88.028,87.041,-0.80230 (99.1977),5 2,2018/07/24 16:21:51,
107,1408177811,주식회사 네오비젼,유정식,분석,184035195,79.4,88.034,87.047,-0.79526 (99.20474),13 14,2018/07/24 19:17:30,
108,1098153822,서울텔엔지니어링(주),정영철,분석,184040000,79.2,88.037,87.049,-0.79267 (99.20733),5 8,2018/07/25 17:36:38,
109,2068657600,에이티아이시스템 주식회사,안현수,분석,184058488,79.0,88.046,87.058,-0.78271 (99.21729),7 12,2018/07/26 09:36:29,
110,1058730625,주식회사 신한네오텍,강미순,분석,184082050,78.8,88.057,87.069,-0.77000 (99.23),7 8,2018/07/19 15:04:25,
111,1138635212,(주)아이제이일렉트론,김도형,분석,184086300,78.8,88.059,87.071,-0.76771 (99.23229),7 4,2018/07/25 17:10:43,
112,2028138682,협진통신(주),이승훈,분석,184086690,78.8,88.059,87.071,-0.76750 (99.2325),5 8,2018/07/26 10:08:17,
113,1208192633,(주)유니썬코리아,김형중,분석,184087335,78.8,88.059,87.071,-0.76716 (99.23284),10 14,2018/07/25 17:04:21,
114,2108170441,주식회사 에이원아이티,김진성,분석,184089284,78.8,88.06,87.072,-0.76610 (99.2339),15 7,2018/07/24 10:41:00,
115,2078136393,삼언전공 주식회사,공석복,분석,184089460,78.8,88.06,87.072,-0.76601 (99.23399),11 9,2018/07/25 14:33:11,
116,2198128106,우선이엔씨(주),김광수,분석,184092000,78.8,88.062,87.074,-0.76464 (99.23536),3 1,2018/07/25 10:31:34,
117,2058132431,(주)삼화동력개발,정권봉,분석,184095590,78.8,88.063,87.075,-0.76271 (99.23729),12 1,2018/07/24 15:12:43,
118,1108131570,(주)조은시스템,김창윤,분석,184100230,78.6,88.066,87.077,-0.76020 (99.2398),1 4,2018/07/26 08:43:16,
119,1108155460,주식회사 자유전설,김상중,분석,184112840,78.6,88.072,87.083,-0.75341 (99.24659),3 12,2018/07/26 08:58:32,
120,2078124989,청보음향(주),지한영,분석,184129720,78.4,88.08,87.091,-0.74431 (99.25569),2 9,2018/07/25 10:33:55,
121,1098143173,에이스건설 주식회사,김호영,분석,184130500,78.4,88.08,87.092,-0.74389 (99.25611),6 11,2018/07/26 08:56:21,
122,1068136902,대일전기산업(주),임태원,분석,184146610,78.2,88.088,87.099,-0.73520 (99.2648),3 1,2018/07/26 10:01:12,
123,1148190678,(주)에드원텔레콤,김춘걸,분석,184153841,78.2,88.091,87.103,-0.73130 (99.2687),3 4,2018/07/25 15:26:30,
124,2068611905,(주)한포넷,이현우,분석,184162080,78.0,88.095,87.107,-0.72686 (99.27314),15 12,2018/07/25 09:52:47,
125,1058161048,서울데이타통신(주),이희승,분석,184163120,78.0,88.096,87.107,-0.72630 (99.2737),13 1,2018/07/24 10:17:11,
126,2148705513,주식회사 케이이에스 전기공사,강성진,분석,184179630,78.0,88.104,87.115,-0.71740 (99.2826),5 1,2018/07/24 15:07:26,
127,2158747516,(주) 제이에스통신정보,한택수,분석,184181480,78.0,88.104,87.116,-0.71641 (99.28359),14 2,2018/07/24 09:15:49,
128,1198601520,주식회사 에스에이치아이앤씨,장덕진,분석,184185740,77.8,88.106,87.118,-0.71411 (99.28589),9 6,2018/07/25 09:30:50,
129,1138139080,(주)성강통신기술사사무소,안치영,분석,184192290,77.8,88.11,87.121,-0.71058 (99.28942),14 12,2018/07/26 09:05:42,
130,1198192370,(주)신관산업,이철재,분석,184192980,77.8,88.11,87.121,-0.71021 (99.28979),1 5,2018/07/25 15:36:41,
131,1068133832,(주)동양이엔씨,최두현,분석,184214680,77.6,88.12,87.132,-0.69851 (99.30149),4 5,2018/07/25 10:49:00,
132,1218610885,주식회사 씨에스포유앤이,김승섭,분석,184220810,77.6,88.123,87.134,-0.69521 (99.30479),4 3,2018/07/24 16:04:53,
133,4168128895,(주)비아이씨스템,방인식,분석,184233990,77.4,88.13,87.141,-0.68810 (99.3119),8 4,2018/07/26 06:33:18,
134,2158171649,(주)삼삼통신기술,이성오,분석,184234200,77.4,88.13,87.141,-0.68799 (99.31201),3 8,2018/07/25 08:56:48,
135,1128120900,(주)조일이씨에스,안종석,분석,184239360,77.4,88.132,87.143,-0.68521 (99.31479),2 15,2018/07/26 09:43:18,
136,1018642326,한우이앤에스(주),변준석,분석,184239732,77.4,88.132,87.143,-0.68501 (99.31499),14 1,2018/07/25 15:07:41,
137,2308103607,주식회사 디케이앤트,양승봉,분석,184242515,77.4,88.134,87.145,-0.68350 (99.3165),13 4,2018/07/20 14:14:09,
138,1178122655,셀렉트정보기술(주),임윤정,분석,184244556,77.2,88.135,87.146,-0.68240 (99.3176),13 1,2018/07/26 07:18:24,
139,1208612783,주식회사 나오디지탈,안병우,분석,184246800,77.2,88.136,87.147,-0.68120 (99.3188),9 15,2018/07/26 10:09:51,
140,2028137999,주식회사 동도시스템,김유기,분석,184255337,77.2,88.14,87.151,-0.67659 (99.32341),3 9,2018/07/25 18:04:49,
