순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2208626592,(주)광현이앤씨,김두하,분석,20295430,88.099,88.241,0.27386 (100.27386),15 9,2014/02/04 13:07:45,
2,1058656119,(주)엔에스아이티  [최종낙찰],이동철,분석,20304262,88.138,88.279,0.31750 (100.3175),8 13,2014/02/07 10:05:49,
3,2128142640,팍스코이앤아이(주),송기민,분석,20317621,88.196,88.337,0.38350 (100.3835),14 5,2014/02/07 09:57:46,
4,2208139700,(주)애플파워,김성국,분석,20323020,88.219,88.36,0.41017 (100.41017),12 8,2014/02/06 15:18:54,
5,4028141375,주식회사 이레유비크,박임철,분석,20354400,88.355,88.497,0.56521 (100.56521),6 10,2014/02/07 09:22:03,
6,1278161863,휴먼테크(주),장현근,분석,20592000,89.387,89.53,1.73913 (101.73913),6 7,2014/02/07 08:52:21,
7,2208773239,주식회사 태영엔에스,박규호,분석,20909090,90.763,90.909,3.30578 (103.30578),11 5,2014/02/05 20:07:07,
8,1208772283,주식회사 미래테크코퍼레이션,성기문,분석,21500000,93.328,93.478,6.22529 (106.22529),11 9,2014/02/06 16:57:18,
9,2158686337,(주)멜타이앤씨,정수봉,분석,21534910,93.48,93.63,6.39777 (106.39777),7 10,2014/02/06 10:49:46,
10,1138653369,(주)제이앤비이노베이션,오명숙,분석,22310000,96.844,97.0,10.22727 (110.22727),8 7,2014/02/07 09:13:23,
11,1198602494,(주) 네오인아이텍,김희숙,분석,22770000,98.841,99.0,12.50000 (112.5),13 14,2014/02/07 08:53:27,
-1,1198130980,샤론일렉콤(주),김만석,분석,20173660,87.571,87.711,-0.32777 (99.67223),11 7,2014/02/06 16:59:06,낙찰하한선 미달
-2,2048188039,(주)한빛대일이엔씨,김경수,분석,20171488,87.561,87.702,-0.33850 (99.6615),13 15,2014/02/06 10:27:47,낙찰하한선 미달
-3,1198166421,(주)띠앗정보통신,우석희,분석,20168520,87.548,87.689,-0.35317 (99.64683),7 2,2014/02/06 09:57:20,낙찰하한선 미달
-4,1328199639,주식회사제이유텍,최도용,분석,20060000,87.077,87.217,-0.88933 (99.11067),7 5,2014/02/04 14:14:03,낙찰하한선 미달
