순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2178143187,(주)미디어밸리렛  [최종낙찰],전필숙,분석,107237206,85.0,89.267,89.03,-1.0365 (98.9635),15 1,2023/09/12 11:14:31,
2,1128143733,공간미디어(주),김명숙,분석,107242568,85.0,89.271,89.034,-1.0315 (98.9685),5 2,2023/09/13 07:12:54,
3,2208127086,디케이엠텍 주식회사,차영문,분석,107245450,85.0,89.274,89.037,-1.0289 (98.9711),13 12,2023/09/11 08:51:45,
4,2298121250,(주)동곡기정,이주언,분석,107252743,85.0,89.281,89.043,-1.0222 (98.9778),5 10,2023/09/12 16:06:43,
5,1138184945,에스엠티정보기술(주),이묵희,분석,107252853,85.0,89.281,89.043,-1.0221 (98.9779),11 15,2023/09/12 13:36:51,
6,2068629138,(주)하나윈정보기술,도수현,분석,107258028,85.0,89.285,89.047,-1.0173 (98.9827),10 7,2023/09/12 17:22:08,
7,1138135425,(주)뉴넷팝,이경택,분석,107273880,85.0,89.3,89.06,-1.0027 (98.9973),12 13,2023/09/12 10:54:02,
8,1408177811,주식회사 네오비젼,유정식,분석,107277566,85.0,89.303,89.063,-0.9992 (99.0008),10 6,2023/09/12 11:30:15,
9,1088178984,(주)포소드,마명철,분석,107278433,85.0,89.304,89.064,-0.9984 (99.0016),14 5,2023/09/12 18:07:04,
10,1068127039,진명이엔씨(주),박창호,분석,107279134,85.0,89.304,89.065,-0.9978 (99.0022),5 9,2023/09/12 16:20:35,
11,2108124739,(주)한성기술개발,서창식,분석,107285152,85.0,89.31,89.07,-0.9922 (99.0078),14 1,2023/09/13 01:37:58,
12,2138610414,(주)성창기전,지광섭,분석,107287751,85.0,89.312,89.072,-0.9899 (99.0101),5 14,2023/09/13 09:29:23,
13,1078724454,정일씨엔아이(주),유지봉,분석,107288402,85.0,89.313,89.072,-0.9892 (99.0108),5 14,2023/09/11 09:52:21,
14,1138610768,주식회사 디지윌,홍석환,분석,107292323,85.0,89.316,89.076,-0.9856 (99.0144),14 13,2023/09/11 16:57:13,
15,2148631445,주식회사 우리엔아이에스,백창준,분석,107292799,85.0,89.316,89.076,-0.9852 (99.0148),15 13,2023/09/12 15:12:00,
16,2158690656,금성통신건설(주),윤영신,분석,107292890,85.0,89.317,89.076,-0.9851 (99.0149),4 9,2023/09/13 08:36:39,
17,1098603593,주식회사 완일이씨에스,김경창,분석,107292905,85.0,89.317,89.076,-0.9851 (99.0149),7 8,2023/09/11 08:11:48,
18,2118145912,영남스퀘어 주식회사,장한원,분석,107297300,85.0,89.321,89.08,-0.9810 (99.019),8 10,2023/09/12 08:20:52,
19,2108165652,키코아이비에스주식회사,공재근,분석,107298927,85.0,89.322,89.081,-0.9795 (99.0205),6 7,2023/09/12 17:43:22,
20,1058682164,(주)울트라텔레콤,김성철,분석,107299346,85.0,89.322,89.082,-0.9791 (99.0209),4 9,2023/09/12 10:57:08,
21,1098145720,주식회사 영원텔레콤,김재성,분석,107301840,85.0,89.325,89.084,-0.9768 (99.0232),14 2,2023/09/12 11:36:07,
22,1101185132,메이폴정보통신,박용진,분석,107307365,85.0,89.33,89.088,-0.9717 (99.0283),9 4,2023/09/11 17:34:17,
23,1108140593,(주)대건이엔씨,이황희,분석,107307990,85.0,89.33,89.089,-0.9712 (99.0288),5 8,2023/09/11 17:15:14,
24,5598700333,주식회사 제이투디앤티,김세환,분석,107309965,85.0,89.332,89.09,-0.9693 (99.0307),10 15,2023/09/12 16:41:20,
25,2148675138,(주)대호아이티에스,임진덕,분석,107317001,85.0,89.338,89.096,-0.9629 (99.0371),1 5,2023/09/12 09:10:14,
26,2118774990,(주)제이에프텍,김중규,분석,107320585,85.0,89.341,89.099,-0.9595 (99.0405),3 5,2023/09/11 14:11:45,
27,2208104161,대신정보기술 주식회사,이광호,분석,107326700,85.0,89.347,89.104,-0.9539 (99.0461),1 12,2023/09/11 15:46:31,
28,7288700415,주식회사 티엑스텍,박영기,분석,107330789,85.0,89.351,89.108,-0.9501 (99.0499),9 14,2023/09/13 08:23:47,
29,3388801483,주식회사 에버그린티앤씨,최재완,분석,107331637,85.0,89.351,89.108,-0.9493 (99.0507),15 13,2023/09/11 10:42:27,
30,1138628119,주식회사 아이티로그,김인희,분석,107335603,85.0,89.355,89.112,-0.9457 (99.0543),4 6,2023/09/11 19:38:20,
31,1138670451,주식회사 코스모티어,김명동,분석,107342050,85.0,89.361,89.117,-0.9397 (99.0603),13 14,2023/09/13 09:51:53,
32,2148665907,미래아이티 주식회사,송정화,분석,107342257,85.0,89.361,89.117,-0.9395 (99.0605),6 14,2023/09/11 09:56:48,
33,2108149521,주식회사 구일일무인경비시스템,박종철,분석,107342700,85.0,89.361,89.118,-0.9391 (99.0609),9 5,2023/09/12 17:17:12,
34,2148805903,리조이스통신주식회사,최공휘,분석,107350601,85.0,89.368,89.124,-0.9318 (99.0682),3 2,2023/09/13 09:12:54,
35,3158800929,에이블이엔씨 주식회사,김주형,분석,107353526,85.0,89.371,89.127,-0.9291 (99.0709),12 13,2023/09/13 09:39:07,
36,2208658565,주식회사 주인정보시스템,김근호,분석,107355500,85.0,89.373,89.128,-0.9273 (99.0727),3 10,2023/09/13 10:48:15,
37,5528801885,주식회사 정도아이넷,장일석,분석,107369630,85.0,89.385,89.14,-0.9143 (99.0857),12 9,2023/09/13 09:08:54,
38,1058628520,주식회사 파크로,최윤영,분석,107370648,85.0,89.386,89.141,-0.9133 (99.0867),1 2,2023/09/13 09:33:37,
39,3058138619,(주)사이버텔브릿지,남백산,분석,107372596,85.0,89.388,89.142,-0.9116 (99.0884),4 7,2023/09/11 09:13:39,
40,2098134713,키엔컴 주식회사,최성덕,분석,107374982,85.0,89.39,89.144,-0.9093 (99.0907),7 5,2023/09/12 09:10:35,
41,5518600929,주식회사마글론이에프씨,김광석,분석,107377890,85.0,89.393,89.147,-0.9067 (99.0933),3 5,2023/09/12 09:51:27,
42,1078825334,스마트네트웍스 주식회사,박정옥,분석,107378580,85.0,89.393,89.147,-0.9060 (99.094),14 8,2023/09/11 21:27:13,
43,2158674452,(주)새별네트웍스,현경순,분석,107380359,85.0,89.395,89.149,-0.9044 (99.0956),1 14,2023/09/11 17:54:52,
44,1018151140,(주)사운드솔루션,이홍,분석,107384390,85.0,89.399,89.152,-0.9007 (99.0993),1 8,2023/09/12 10:50:42,
45,2188101953,주식회사 비츠로시스,이기재,분석,107385709,85.0,89.4,89.153,-0.8994 (99.1006),7 9,2023/09/11 13:23:44,
46,5198102535,주식회사 이음유앤아이,박영재,분석,107394520,85.0,89.408,89.161,-0.8913 (99.1087),1 15,2023/09/12 11:14:48,
47,1078197386,(주)아리네트웍스,성동식,분석,107396268,85.0,89.409,89.162,-0.8897 (99.1103),1 10,2023/09/11 09:29:15,
48,1198655462,지티에스솔루션즈 주식회사,김민수,분석,107396762,85.0,89.41,89.162,-0.8892 (99.1108),1 5,2023/09/11 14:33:02,
49,5878600398,주식회사 엑사엔시스,나정환,분석,107401764,85.0,89.414,89.167,-0.8846 (99.1154),5 15,2023/09/12 07:41:43,
50,1208637260,에스피케이인크 주식회사,박성빈,분석,107403636,85.0,89.416,89.168,-0.8829 (99.1171),9 10,2023/09/12 16:56:13,
51,1738100419,주식회사 아이즈온솔루션,김보현,분석,107407270,85.0,89.419,89.171,-0.8796 (99.1204),11 1,2023/09/12 15:47:00,
52,1198158412,애드넷정보통신(주),박상흥,분석,107410114,85.0,89.422,89.174,-0.8769 (99.1231),5 4,2023/09/12 20:02:58,
53,2208886221,주식회사 지엔아이티,윤상병,분석,107416980,85.0,89.428,89.179,-0.8706 (99.1294),9 10,2023/09/11 15:06:20,
54,2158119769,주식회사 남일기업,이범석,분석,107418290,85.0,89.429,89.18,-0.8694 (99.1306),6 15,2023/09/11 15:28:21,
55,2158769714,주식회사 누리엔에스,박봉기,분석,107430088,85.0,89.44,89.19,-0.8585 (99.1415),2 1,2023/09/11 17:59:54,
56,1068684748,주식회사고도기술,고동현,분석,107438481,85.0,89.447,89.197,-0.8507 (99.1493),13 4,2023/09/12 22:22:43,
57,2068165221,유니슨전기(주),유창진,분석,107448667,85.0,89.456,89.206,-0.8413 (99.1587),5 13,2023/09/11 10:13:01,
58,1088159691,(주)다우텔레콤,이영순,분석,107449858,85.0,89.457,89.207,-0.8403 (99.1597),1 13,2023/09/12 20:41:54,
59,1188117437,탑인더스트리(주),이정임,분석,107451332,85.0,89.459,89.208,-0.8389 (99.1611),9 4,2023/09/12 08:54:18,
60,1178122655,셀렉트정보기술(주),임윤정,분석,107454090,85.0,89.461,89.21,-0.8363 (99.1637),8 9,2023/09/13 09:26:42,
61,1078212123,사단법인 장애인인권센터,서인환,분석,107456737,85.0,89.464,89.212,-0.8339 (99.1661),6 13,2023/09/11 16:07:23,
62,2158133077,오티씨 주식회사,김희언,분석,107457357,85.0,89.464,89.213,-0.8333 (99.1667),13 2,2023/09/11 10:46:17,
63,2048190516,주식회사동훈전설,정준모,분석,107460370,85.0,89.467,89.215,-0.8305 (99.1695),6 3,2023/09/12 16:15:09,
64,2028158261,주식회사 남두,김승균,분석,107467950,85.0,89.474,89.222,-0.8236 (99.1764),1 15,2023/09/12 10:49:28,
65,1198682431,(주)대경시스텍,반기수,분석,107467955,85.0,89.474,89.222,-0.8235 (99.1765),10 7,2023/09/11 10:47:38,
66,5258602705,(주)세화 텔링크,이옥임,분석,107468556,85.0,89.474,89.222,-0.8230 (99.177),4 10,2023/09/12 22:09:55,
67,2128142956,(주)한빛파워,선봉수,분석,107470670,85.0,89.476,89.224,-0.8210 (99.179),3 8,2023/09/13 08:14:04,
68,1178185645,무원이엔씨 주식회사,염규주,분석,107472506,85.0,89.478,89.225,-0.8193 (99.1807),3 15,2023/09/11 17:39:29,
69,1138683636,주식회사 온택,허윤훈,분석,107476100,85.0,89.481,89.228,-0.8160 (99.184),7 13,2023/09/11 13:40:22,
70,7418801210,주식회사 한국에이브이산업,이재숙,분석,107483125,85.0,89.487,89.234,-0.8095 (99.1905),3 9,2023/09/12 07:10:02,
71,2098133747,(주)한국에스알테크,이재호,분석,107488760,85.0,89.492,89.239,-0.8043 (99.1957),12 6,2023/09/12 09:38:39,
72,2048137258,대신엔에스(주),정동진,분석,107488870,85.0,89.492,89.239,-0.8042 (99.1958),4 8,2023/09/11 09:28:56,
73,2208121248,주식회사 케이티엔지니어링,박종열,분석,107492906,85.0,89.496,89.242,-0.8005 (99.1995),9 6,2023/09/12 11:22:44,
74,2148626132,(주)오버넷,신창호,분석,107493961,85.0,89.497,89.243,-0.7995 (99.2005),5 10,2023/09/12 09:49:29,
75,1058162163,주식회사대한종합산전,이섭,분석,107497000,85.0,89.5,89.246,-0.7967 (99.2033),10 12,2023/09/11 13:59:58,
76,2298125412,스크린정보통신(주),조승제,분석,107499379,85.0,89.502,89.248,-0.7945 (99.2055),8 10,2023/09/12 09:41:34,
77,1068178635,(주)지아이테크놀러지,홍영우,분석,107504906,85.0,89.507,89.252,-0.7894 (99.2106),11 9,2023/09/12 14:21:47,
78,1098161598,(주)삼우씨앤에스,이기만,분석,107509350,85.0,89.511,89.256,-0.7853 (99.2147),14 10,2023/09/09 13:19:36,
79,2098121862,거우전설주식회사,김영훈,분석,107513537,85.0,89.515,89.259,-0.7815 (99.2185),13 8,2023/09/11 15:04:33,
80,2168701696,주식회사 투비콤,유수정,분석,107518130,85.0,89.519,89.263,-0.7772 (99.2228),2 9,2023/09/11 13:12:15,
81,1078763383,주식회사 아이티블럭,배경원,분석,107519101,85.0,89.52,89.264,-0.7763 (99.2237),3 4,2023/09/12 16:30:44,
82,1058688514,(주)엠티에스정보기술,신현준,분석,107520300,85.0,89.521,89.265,-0.7752 (99.2248),6 9,2023/09/13 10:35:25,
83,2208605262,주식회사 트리엠,김동수,분석,107521480,85.0,89.522,89.266,-0.7742 (99.2258),7 12,2023/09/11 15:25:38,
84,2128606988,원강정보통신 주식회사,우강원,분석,107526690,85.0,89.526,89.27,-0.7693 (99.2307),13 5,2023/09/12 09:25:22,
85,4018600546,주식회사 케이투시스템즈,강병준,분석,107535250,85.0,89.534,89.277,-0.7614 (99.2386),9 8,2023/09/12 13:07:25,
86,1068687634,(주)엠폴시스템,송승찬,분석,107539260,85.0,89.538,89.281,-0.7577 (99.2423),2 5,2023/09/13 10:44:52,
87,1058199938,삼호전자통신(주),이경희,분석,107539370,85.0,89.538,89.281,-0.7576 (99.2424),3 13,2023/09/12 10:08:39,
88,5338700141,주식회사 인프라엔이,정우진,분석,107540428,85.0,89.539,89.282,-0.7567 (99.2433),6 13,2023/09/11 10:07:28,
89,1168173694,(주)지엠에스인터내셔날,김형준,분석,107540560,85.0,89.539,89.282,-0.7565 (99.2435),15 4,2023/09/11 16:57:53,
90,2148161231,(주)유엔터스,김정환,분석,107540990,85.0,89.539,89.282,-0.7561 (99.2439),3 5,2023/09/11 09:06:57,
91,2148891087,세경네트웍스 주식회사,장중석,분석,107541484,85.0,89.54,89.283,-0.7557 (99.2443),11 1,2023/09/12 17:35:20,
92,1098143872,보은전자방송통신(주),우영섭,분석,107543920,85.0,89.542,89.285,-0.7534 (99.2466),4 12,2023/09/11 11:01:01,
93,1068612230,(주)사강통신,정일영,분석,107545456,85.0,89.543,89.286,-0.7520 (99.248),4 7,2023/09/11 10:13:37,
94,1178119238,주식회사 동양네트워크,김종렬,분석,107552265,85.0,89.549,89.292,-0.7457 (99.2543),3 14,2023/09/11 09:42:03,
95,2158159534,하이텍앤솔 주식회사,정구천,분석,107553800,85.0,89.551,89.293,-0.7443 (99.2557),13 2,2023/09/13 10:19:43,
96,1198125041,옥성정보통신(주),황석,분석,107559194,85.0,89.555,89.297,-0.7393 (99.2607),7 1,2023/09/12 09:25:08,
97,1088195004,(주)한양케이앤이,김홍인,분석,107562517,85.0,89.558,89.3,-0.7363 (99.2637),6 7,2023/09/12 13:50:40,
98,2148724941,한빛시스템주식회사,윤명호,분석,107563151,85.0,89.559,89.301,-0.7357 (99.2643),15 5,2023/09/12 15:59:18,
99,2148805112,주식회사 지큐시스템즈,구자옥,분석,107564419,85.0,89.56,89.302,-0.7345 (99.2655),7 10,2023/09/12 01:30:28,
100,1068609792,(주)아이티로그인,김태현,분석,107564721,85.0,89.56,89.302,-0.7342 (99.2658),9 13,2023/09/12 15:41:31,
101,1068180183,보람정보통신서비스(주),정승원,분석,107573700,85.0,89.569,89.309,-0.7260 (99.274),2 3,2023/09/09 10:28:45,
102,1098644842,주식회사 스마트넷,한동오,분석,107574037,85.0,89.569,89.31,-0.7257 (99.2743),2 5,2023/09/11 08:48:51,
103,4028141375,주식회사 이레유비크,박임철,분석,107578266,85.0,89.573,89.313,-0.7217 (99.2783),5 10,2023/09/11 09:42:08,
104,2138800230,주식회사 성민전기통신,홍종애,분석,107578808,85.0,89.573,89.314,-0.7212 (99.2788),6 15,2023/09/12 13:49:26,
105,1058179892,(주)지에스컴,김형호,분석,107579458,85.0,89.574,89.314,-0.7206 (99.2794),2 4,2023/09/11 17:30:05,
106,1048603486,우영메카(주),김규승,분석,107579566,85.0,89.574,89.314,-0.7205 (99.2795),1 13,2023/09/13 01:28:45,
107,1078167709,온세텔레콤(주),박준학,분석,107584600,85.0,89.578,89.318,-0.7159 (99.2841),11 4,2023/09/12 09:16:47,
108,2068125141,주식회사 스테이지넷,임영규,분석,107584817,85.0,89.578,89.319,-0.7157 (99.2843),5 12,2023/09/11 17:01:35,
109,1138163917,백두전기통신(주),장철,분석,107585527,85.0,89.579,89.319,-0.7150 (99.285),9 14,2023/09/11 18:28:06,
110,1198173261,주식회사 현대네트웍기술,조성익,분석,107590510,85.0,89.584,89.323,-0.7104 (99.2896),4 6,2023/09/11 15:16:05,
111,1098155422,창공정보통신 주식회사,김배명,분석,107591811,85.0,89.585,89.324,-0.7092 (99.2908),13 3,2023/09/12 06:33:59,
112,1078143707,(주)신창전기,홍성수,분석,107592570,85.0,89.585,89.325,-0.7085 (99.2915),8 14,2023/09/13 09:17:47,
113,1068651233,(주)나사씨엔에스,신희태,분석,107595703,85.0,89.588,89.328,-0.7057 (99.2943),10 4,2023/09/12 00:27:17,
114,2128107793,호곡종합건설(주),박성환,분석,107596254,85.0,89.589,89.328,-0.7051 (99.2949),11 13,2023/09/13 15:51:24,
115,1078746443,(주)라인테크놀로지,유현식,분석,107600046,85.0,89.592,89.331,-0.7016 (99.2984),7 14,2023/09/12 16:12:30,
116,1138618789,이노뎁(주),이성진,분석,107602430,85.0,89.594,89.333,-0.6994 (99.3006),1 9,2023/09/12 18:55:53,
117,2208604531,주식회사 월드린시스템즈,류준열,분석,107602500,85.0,89.594,89.333,-0.6994 (99.3006),7 13,2023/09/13 09:28:43,
118,2178601498,주식회사 엔키텍,원영춘,분석,107605572,85.0,89.597,89.336,-0.6965 (99.3035),15 2,2023/09/12 10:26:16,
119,1068654453,주식회사 티엔에스솔루션,박종수,분석,107610770,85.0,89.602,89.34,-0.6918 (99.3082),9 14,2023/09/11 09:30:20,
120,1088153848,(주)신지전설,황경옥,분석,107611300,85.0,89.602,89.341,-0.6913 (99.3087),14 8,2023/09/13 09:11:21,
121,2128169519,세진시스콤주식회사,박수환,분석,107614241,85.0,89.605,89.343,-0.6885 (99.3115),11 3,2023/09/12 09:00:54,
122,1288704800,주식회사 드림하이테크,최서유,분석,107619980,85.0,89.61,89.348,-0.6833 (99.3167),9 15,2023/09/13 09:40:05,
123,1068616819,(주)현성인포컴,박홍수,분석,107622019,85.0,89.612,89.349,-0.6814 (99.3186),3 2,2023/09/12 09:11:03,
124,2148792435,주식회사케이이씨디바이스,이종수,분석,107627727,85.0,89.617,89.354,-0.6761 (99.3239),8 13,2023/09/11 11:19:25,
