순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2148675138,(주)대호아이티에스  [최종낙찰],임진덕,분석,428243100,75.0,88.525,89.144,0.2864 (100.2864),2 11,2023/12/07 09:07:35,
2,2058140076,(주)제일첨단테크,김성수,분석,428261889,75.0,88.529,89.148,0.2908 (100.2908),2 14,2023/12/08 09:27:49,
3,2048187419,(주)디지털우민,문장석,분석,428268721,75.0,88.531,89.15,0.2924 (100.2924),9 8,2023/12/06 15:48:36,
4,1118128082,(주)디투엔지니어링,김낙경,분석,428276410,75.0,88.532,89.151,0.2942 (100.2942),10 1,2023/12/08 08:33:01,
5,2048137258,대신엔에스(주),정동진,분석,428281010,75.0,88.533,89.152,0.2952 (100.2952),6 5,2023/12/07 09:33:45,
6,2158148186,시스텍전기통신 주식회사,전진우,분석,428301325,75.0,88.538,89.157,0.3000 (100.3),4 10,2023/12/06 10:10:18,
7,6618702691,(주)대창일렉스,송효양,분석,428308733,75.0,88.539,89.158,0.3017 (100.3017),15 8,2023/12/08 08:26:37,
8,1078162397,신용통신 주식회사,김형종,분석,428312278,75.0,88.54,89.159,0.3026 (100.3026),9 4,2023/12/06 12:14:28,
9,1138683368,주식회사 에스엠시스템즈,이승환,분석,428320500,75.0,88.542,89.16,0.3045 (100.3045),9 15,2023/12/07 15:50:22,
10,2028158261,주식회사 남두,김승균,분석,428340360,75.0,88.546,89.165,0.3091 (100.3091),12 11,2023/12/08 08:56:51,
11,1328127945,부민통신 주식회사,박창욱,분석,428347592,75.0,88.547,89.166,0.3108 (100.3108),1 14,2023/12/06 11:06:43,
12,1138637772,(주)헤로스테크,박우현,분석,428358820,75.0,88.55,89.168,0.3134 (100.3134),10 2,2023/12/06 14:20:01,
13,1068150525,주식회사 캐스트윈,김낙희,분석,428364380,75.0,88.551,89.17,0.3148 (100.3148),3 12,2023/12/07 13:50:36,
14,2208151999,현대에이치티 주식회사,이건구,분석,428366100,75.0,88.551,89.17,0.3152 (100.3152),8 11,2023/12/06 16:54:30,
15,2158727392,매컴정보통신(주),장병호,분석,428409220,75.0,88.561,89.179,0.3253 (100.3253),15 10,2023/12/07 09:35:23,
16,1068674084,주식회사월드아이,신영구,분석,428414847,75.0,88.562,89.18,0.3266 (100.3266),12 14,2023/12/08 08:23:42,
17,2148781807,(주)창리정보통신,정종호,분석,428422021,75.0,88.563,89.182,0.3283 (100.3283),6 14,2023/12/08 09:46:26,
18,1188113673,동해정보통신 주식회사,이창원,분석,428422876,75.0,88.564,89.182,0.3285 (100.3285),15 14,2023/12/08 06:52:03,
19,1428136631,주식회사 만사시스템,조호진,분석,428425440,75.0,88.564,89.182,0.3291 (100.3291),1 3,2023/12/07 10:05:12,
