순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2148768177,(주)프라임엔시스템  [최종낙찰],윤재중,분석,84724380.0,85.0,87.745,89.249,0.93590 (100.9359),13 6,2020/12/15 09:38:15,
2,2118640396,주식회사 선진콘트롤 엔 엑세스,이철희,분석,84737123.0,85.2,87.759,89.262,0.95119 (100.95119),4 9,2020/12/14 12:39:49,
3,2128196942,동진이앤씨(주),민진식,분석,84738500.0,85.2,87.76,89.264,0.95285 (100.95285),1 2,2020/12/14 17:49:16,
4,2298139274,(주)영풍전력설비,심문수,분석,84741090.0,85.2,87.763,89.266,0.95596 (100.95596),12 8,2020/12/14 14:21:20,
5,2158691790,에이브이에스텍(주),박주영,분석,84742620.0,85.4,87.765,89.268,0.95779 (100.95779),8 14,2020/12/15 09:58:36,
6,1098161583,주식회사 호서텔넷,민경일,분석,84742621.0,85.4,87.765,89.268,0.95780 (100.9578),1 11,2020/12/14 09:09:20,
7,2088115241,한애전자(주),최용경,분석,84753030.0,85.6,87.776,89.279,0.97029 (100.97029),2 11,2020/12/14 10:07:58,
8,2118193336,(주)국제비엠에스,윤도선,분석,84753100.0,85.6,87.776,89.279,0.97038 (100.97038),14 13,2020/12/14 13:47:08,
9,1058123684,주식회사 우전정보통신,이정,분석,84756300.0,85.6,87.78,89.282,0.97422 (100.97422),10 8,2020/12/14 10:25:27,
10,4208700205,주식회사 가은씨앤에스,양미영,분석,84764200.0,85.8,87.789,89.291,0.98370 (100.9837),2 4,2020/12/15 08:32:53,
11,2068601047,왕건전기 주식회사,한미라,분석,84766936.0,85.8,87.792,89.294,0.98699 (100.98699),9 14,2020/12/15 08:31:43,
12,2158768281,태일정보시스템(주),이미자,분석,84770442.0,86.0,87.795,89.297,0.99120 (100.9912),7 9,2020/12/14 09:39:49,
13,1048159651,(주)성우음향정보통신,송민자,분석,84771942.0,86.0,87.797,89.299,0.99300 (100.993),7 12,2020/12/15 09:08:45,
14,1428168147,주식회사 다옴건설,이창석,분석,84773900.0,86.0,87.799,89.301,0.99535 (100.99535),8 13,2020/12/14 15:51:28,
15,1058188805,(주)경성텔레콤,김천수,분석,84780180.0,86.2,87.806,89.308,1.00289 (101.00289),13 14,2020/12/14 14:33:28,
16,1138622662,퍼스트아이앤씨 주식회사,한종인,분석,84801675.0,86.6,87.83,89.33,1.02869 (101.02869),4 15,2020/12/13 21:13:32,
17,1138694303,향원전자통신 주식회사,이진영,분석,84807000.0,86.8,87.836,89.336,1.03508 (101.03508),14 8,2020/12/12 22:26:52,
18,1068133832,(주)동양이엔씨,최두현,분석,84807420.0,86.8,87.836,89.336,1.03559 (101.03559),5 12,2020/12/14 10:15:22,
19,2208660663,주식회사 데이타렉스,김정국,분석,84810700.0,86.8,87.84,89.34,1.03953 (101.03953),10 9,2020/12/14 13:48:39,
20,2148864580,(주)리우솔루션,우삼렬,분석,84813339.0,86.8,87.843,89.343,1.04269 (101.04269),15 7,2020/12/11 15:26:33,
21,1168147309,문엔지니어링(주),문헌일,분석,84814800.0,86.8,87.844,89.344,1.04445 (101.04445),3 6,2020/12/15 09:21:40,
22,2108124739,(주)한성기술개발,서창식,분석,84818004.0,87.0,87.848,89.347,1.04830 (101.0483),11 12,2020/12/15 07:42:25,
