순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1138607924,두성건설주식회사  [최종낙찰],안성병,분석,38234700,87.745,88.268,0.59670 (100.5967),3 10,2020/04/28 10:11:42,
2,2078148017,(주)명신시스템,노근식,분석,38234920,87.746,88.269,0.59728 (100.59728),6 2,2020/04/27 10:23:30,
3,2178121937,부광이앤씨 주식회사,정동국,분석,38236866,87.75,88.273,0.60240 (100.6024),2 10,2020/04/28 15:49:13,
4,1418147931,주식회사 이리야시스템,허재혁,분석,38237280,87.751,88.274,0.60349 (100.60349),15 5,2020/04/27 21:31:41,
5,2128196243,신광씨앤티 주식회사,박광선,분석,38237700,87.752,88.275,0.60459 (100.60459),4 12,2020/04/27 18:24:11,
6,1068622913,석보이엔지주식회사,박진훈,분석,38238994,87.755,88.278,0.60800 (100.608),11 12,2020/04/29 08:53:35,
7,1108140249,(주)유베이스,허대건,분석,38239260,87.756,88.279,0.60870 (100.6087),13 6,2020/04/28 13:41:09,
8,1098644842,주식회사 스마트넷,한동오,분석,38240324,87.758,88.281,0.61150 (100.6115),7 5,2020/04/27 11:52:50,
9,2148645634,한국전자금융주식회사,구자성,분석,38241080,87.76,88.283,0.61349 (100.61349),15 10,2020/04/27 14:43:30,
10,5088137937,(주)벨류데이터,이선미,분석,38241464,87.761,88.284,0.61450 (100.6145),11 9,2020/04/28 16:08:32,
11,1118101759,신원전설(주),심한섭,분석,38241580,87.761,88.284,0.61480 (100.6148),15 7,2020/04/28 09:25:22,
12,2188119278,한국씨네텍(주),김춘만,분석,38244080,87.767,88.29,0.62138 (100.62138),8 14,2020/04/28 21:13:05,
13,1138141456,(주)나우아이앤씨,안남훈,분석,38244420,87.768,88.291,0.62227 (100.62227),2 14,2020/04/29 09:50:18,
14,2198111833,주식회사 대영아이오티,전인구,분석,38244618,87.768,88.291,0.62279 (100.62279),5 15,2020/04/28 09:08:24,
15,1058649262,주식회사 노하우전기통신,임창배,분석,38244990,87.769,88.292,0.62377 (100.62377),11 3,2020/04/27 13:44:21,
16,1288141176,주식회사 와이씨스템,장영찬,분석,38244999,87.769,88.292,0.62380 (100.6238),3 10,2020/04/27 13:13:51,
17,1268149658,베올리아산업개발코리아 주식회사,가보렐마르셀루시앙프랑소와,분석,38246770,87.773,88.296,0.62846 (100.62846),10 4,2020/04/28 16:19:08,
18,1048635917,주식회사 비전에스엔씨,김국배,분석,38247354,87.774,88.297,0.62999 (100.62999),6 11,2020/04/29 09:55:18,
19,1148611926,(주)동진이앤티,심철희,분석,38247584,87.775,88.298,0.63060 (100.6306),6 11,2020/04/27 12:12:07,
20,1148683959,제이엔에스텍주식회사,안종기,분석,38247930,87.776,88.299,0.63151 (100.63151),9 3,2020/04/27 23:40:29,
21,2148180640,(주)남인정보통신,김남호,분석,38248381,87.777,88.3,0.63270 (100.6327),6 2,2020/04/27 10:27:53,
22,2048174554,주식회사 창흥텔레콤,진경미,분석,38249200,87.779,88.302,0.63485 (100.63485),12 14,2020/04/29 07:55:38,
23,1168155492,주식회사 코콤텍,고성춘,분석,38249900,87.78,88.303,0.63669 (100.63669),2 4,2020/04/28 15:29:20,
24,6918100014,에스큐앤티 주식회사(SQ&T Inc.),박윤지,분석,38253700,87.789,88.312,0.64669 (100.64669),13 5,2020/04/27 10:12:04,
