순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1358178502,주식회사 디알네트웍스  [최종낙찰],이기영,분석,60186900,85.0,90.011,90.588,0.3942 (100.3942),1 6,2020/12/19 17:58:30,
2,5568600996,주영전자통신 주식회사,임채열,분석,60187920,85.0,90.012,90.589,0.3959 (100.3959),11 14,2020/12/21 09:07:52,
3,1128138958,(주)한국씨씨에스,정귀수,분석,60193440,85.0,90.021,90.598,0.4051 (100.4051),8 15,2020/12/18 10:50:33,
4,1118101759,신원전설(주),심한섭,분석,60197760,85.0,90.027,90.604,0.4124 (100.4124),14 12,2020/12/21 10:44:07,
5,2108157604,주식회사 유니원이엔지,민수지,분석,60197800,85.0,90.028,90.604,0.4124 (100.4124),8 7,2020/12/21 17:12:59,
6,1170233690,화진정보통신,김병철,분석,60199250,85.0,90.03,90.606,0.4148 (100.4148),6 11,2020/12/21 09:39:30,
7,2118814679,주식회사 제이앤지시스템,박장훈,분석,60199618,85.0,90.03,90.607,0.4155 (100.4155),6 1,2020/12/22 09:09:42,
8,2048187419,(주)디지털우민,문장석,분석,60203035,85.0,90.036,90.612,0.4212 (100.4212),5 13,2020/12/21 11:39:29,
9,2148823314,화인정보기술주식회사,이명우,분석,60203210,85.0,90.036,90.612,0.4214 (100.4214),10 11,2020/12/21 15:37:33,
10,2138198870,주식회사 근우,김재진,분석,60203400,85.0,90.036,90.613,0.4218 (100.4218),9 6,2020/12/18 11:44:48,
11,1148135087,장한전산(주),이상철,분석,60203995,85.0,90.037,90.614,0.4228 (100.4228),10 8,2020/12/21 17:00:19,
12,1208134161,(주)파코코리아인더스,송재혁,분석,60204294,85.0,90.038,90.614,0.4233 (100.4233),10 11,2020/12/21 13:44:51,
13,1138159301,삼인제어시스템 주식회사,최민성,분석,60204540,85.0,90.038,90.614,0.4237 (100.4237),4 10,2020/12/18 15:46:09,
14,1138670451,주식회사 코스모티어,김명동,분석,60205550,85.0,90.039,90.616,0.4253 (100.4253),3 9,2020/12/18 16:56:41,
15,1068641109,주식회사 피앤지텍,조홍길,분석,60205750,85.0,90.04,90.616,0.4257 (100.4257),3 15,2020/12/21 09:38:12,
16,2208804175,주식회사 예준시스템,이인애,분석,60205800,85.0,90.04,90.616,0.4258 (100.4258),15 13,2020/12/22 09:40:09,
17,8908701311,(주)에이디넷,주종명,분석,60208580,85.0,90.044,90.62,0.4304 (100.4304),11 3,2020/12/18 15:31:15,
18,1058186995,부원동력(주),이병의,분석,60208971,85.0,90.045,90.621,0.4311 (100.4311),6 14,2020/12/22 08:52:00,
19,2118145912,영남전기통신 주식회사,장한목,분석,60209490,85.0,90.045,90.622,0.4319 (100.4319),2 7,2020/12/21 10:05:31,
20,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,60211120,85.0,90.048,90.624,0.4346 (100.4346),13 3,2020/12/21 09:47:07,
21,1108179327,(주) 유엘네트웍스,정재순,분석,60220540,85.0,90.062,90.638,0.4503 (100.4503),3 14,2020/12/21 09:59:09,
22,1018176627,(주)엔터정보통신,이용구,분석,60220841,85.0,90.063,90.639,0.4509 (100.4509),6 15,2020/12/21 10:30:55,
23,1138184945,에스엠티정보기술(주),이묵희,분석,60223140,85.0,90.066,90.642,0.4547 (100.4547),7 9,2020/12/21 22:22:01,
24,1078161011,(주)장수커뮤니케이션즈,김현수,분석,60224430,85.0,90.068,90.644,0.4568 (100.4568),9 11,2020/12/22 09:10:52,
25,1018642796,주식회사 나이스포유,조향심,분석,60224858,85.0,90.069,90.645,0.4576 (100.4576),6 13,2020/12/21 17:53:42,
26,2055169402,청포음향,신동열,분석,60225036,85.0,90.069,90.645,0.4578 (100.4578),3 4,2020/12/17 17:03:10,
27,1068606738,(주)퓨쳐아이티,정정민,분석,60227800,85.0,90.074,90.649,0.4625 (100.4625),4 9,2020/12/22 08:58:37,
28,1068611721,우리보안 주식회사,이명재,분석,60230025,85.0,90.077,90.653,0.4662 (100.4662),9 7,2020/12/22 08:09:50,
29,1198635243,(주)다룸정보기술,이혜경,분석,60232291,85.0,90.08,90.656,0.4700 (100.47),6 8,2020/12/20 19:43:31,
30,1138111990,한경기전(주),박태용,분석,60233740,85.0,90.083,90.658,0.4724 (100.4724),12 1,2020/12/21 09:27:41,
31,2068650742,한선씨앤씨 주식회사,장홍식,분석,60234270,85.0,90.083,90.659,0.4733 (100.4733),12 4,2020/12/17 09:55:55,
32,2158721947,(주)엠지브이보안시스템,김흥국,분석,60234449,85.0,90.084,90.659,0.4736 (100.4736),8 4,2020/12/18 10:18:30,
33,2208100563,경창계전 주식회사,이성욱,분석,60235830,85.0,90.086,90.661,0.4759 (100.4759),14 10,2020/12/16 18:49:48,
34,1088195004,(주)한양케이앤이,김홍인,분석,60243674,85.0,90.098,90.673,0.4889 (100.4889),13 1,2020/12/21 11:34:55,
35,2138633324,(주)서경엔씨에스,김진태,분석,60244940,85.0,90.1,90.675,0.4911 (100.4911),4 9,2020/12/22 08:45:08,
36,1358145603,한라인포넷(주),장경민,분석,60246140,85.0,90.102,90.677,0.4931 (100.4931),5 12,2020/12/22 00:23:27,
37,1041890207,삼정정보통신,이순봉,분석,60250276,85.0,90.108,90.683,0.5000 (100.5),5 4,2020/12/18 17:47:16,
38,1428168147,주식회사 다옴건설,이창석,분석,60251356,85.0,90.11,90.685,0.5018 (100.5018),10 14,2020/12/21 12:40:55,
39,1198141207,(주)텍센,권유찬,분석,60255100,85.0,90.115,90.69,0.5080 (100.508),7 13,2020/12/22 09:07:53,
40,2048131439,중앙텔콤(주),오충석,분석,60256512,85.0,90.118,90.693,0.5104 (100.5104),7 11,2020/12/19 12:28:07,
41,2108156959,두레에스텍 주식회사,유의근,분석,60258369,85.0,90.12,90.695,0.5135 (100.5135),5 15,2020/12/21 12:10:43,
42,2108108684,주식회사 대금이앤아이,김종우,분석,60259210,85.0,90.122,90.697,0.5149 (100.5149),11 12,2020/12/17 14:19:39,
43,2208131391,호진산업기연(주),안형근,분석,60259568,85.0,90.122,90.697,0.5155 (100.5155),7 3,2020/12/21 08:26:41,
44,6138171784,서경정보통신 주식회사,이석희,분석,60266583,85.0,90.133,90.708,0.5272 (100.5272),14 5,2020/12/21 16:48:32,
45,1298163829,(주)시원코리아,임희득,분석,60266640,85.0,90.133,90.708,0.5272 (100.5272),14 10,2020/12/21 07:55:56,
46,4208700205,주식회사 가은씨앤에스,양미영,분석,60266880,85.0,90.133,90.708,0.5276 (100.5276),9 12,2020/12/21 07:56:53,
47,2208667614,주식회사 로버텍,김현성,분석,60267060,85.0,90.134,90.709,0.5279 (100.5279),10 6,2020/12/21 10:05:13,
48,1068683638,주식회사 엔씨씨디지탈,이상호,분석,60267700,85.0,90.135,90.709,0.5290 (100.529),15 9,2020/12/21 09:46:06,
49,1198617129,주식회사 조인에프에스,박용민,분석,60273500,85.0,90.144,90.718,0.5387 (100.5387),7 4,2020/12/18 10:39:09,
50,2158714581,씨엠티정보통신(주),김국동,분석,60273837,85.0,90.144,90.719,0.5393 (100.5393),12 15,2020/12/16 16:19:12,
