순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2148798098,주식회사 에이스뷰테크  [최종낙찰],김종오,분석,91990800,85.0,89.555,90.187,0.4615 (100.4615),12 6,2021/04/01 15:54:08,
2,1068604157,주식회사 넥시스정보,오세후,분석,91991100,85.0,89.555,90.187,0.4618 (100.4618),1 11,2021/03/31 08:06:30,
3,1148611926,(주)동진이앤티,심철희,분석,91998062,85.0,89.562,90.194,0.4695 (100.4695),10 2,2021/04/01 11:07:46,
4,1208194567,아산정보통신(주),홍수길,분석,92007218,85.0,89.571,90.203,0.4795 (100.4795),12 11,2021/04/01 07:09:58,
5,1128143733,공간미디어(주),김명숙,분석,92007310,85.0,89.571,90.203,0.4796 (100.4796),3 13,2021/04/02 07:48:58,
6,2208718861,(주)예스피치,김재중,분석,92014471,85.0,89.579,90.21,0.4874 (100.4874),14 9,2021/03/31 10:26:34,
7,1138111990,한경기전(주),박태용,분석,92035340,85.0,89.599,90.23,0.5102 (100.5102),8 3,2021/03/31 11:08:35,
8,1138137229,두복산전(주),이영두,분석,92037500,85.0,89.602,90.232,0.5125 (100.5125),1 4,2021/04/01 09:24:41,
9,1078167709,온세텔레콤(주),박준학,분석,92038900,85.0,89.603,90.234,0.5140 (100.514),15 3,2021/04/02 09:44:35,
10,2148669602,(주)우호텔레콤,이강록,분석,92060700,85.0,89.625,90.255,0.5379 (100.5379),10 6,2021/04/01 14:21:33,
11,1198153514,다린전력(주),오승한,분석,92076260,85.0,89.64,90.27,0.5549 (100.5549),10 15,2021/04/01 13:52:16,
12,1108177407,시큐에스주식회사,정재량,분석,92090087,85.0,89.654,90.284,0.5700 (100.57),9 14,2021/04/01 16:45:50,
13,2048133679,(주)뉴콤,배상열,분석,92090490,85.0,89.654,90.284,0.5704 (100.5704),13 1,2021/04/01 10:35:46,
14,3188600619,주식회사 태정이앤아이,정태용,분석,92094575,85.0,89.658,90.288,0.5749 (100.5749),3 6,2021/04/01 20:22:39,
15,1168147309,문엔지니어링(주),문헌일,분석,92099530,85.0,89.663,90.293,0.5803 (100.5803),8 15,2021/04/02 09:24:42,
16,1028137710,서광종합개발 주식회사,이정익,분석,92116276,85.0,89.68,90.31,0.5986 (100.5986),8 15,2021/04/02 08:48:52,
17,5178101428,주식회사 율이앤씨,전형숙,분석,92122878,85.0,89.687,90.316,0.6058 (100.6058),8 14,2021/03/30 10:12:05,
18,1098651964,셀코정보기술 주식회사,권영용,분석,92136013,85.0,89.7,90.329,0.6201 (100.6201),6 4,2021/04/02 09:17:30,
19,2028158261,주식회사 남두,김승균,분석,92154368,85.0,89.718,90.347,0.6402 (100.6402),4 14,2021/04/01 07:49:57,
20,3738701418,주식회사 에스비넷,전막동,분석,92168790,85.0,89.732,90.361,0.6559 (100.6559),7 5,2021/04/01 10:45:25,
21,1248106672,(주)데스코,이상혁,분석,92176280,85.0,89.74,90.368,0.6641 (100.6641),1 13,2021/04/02 09:48:22,
22,1198173261,(주)현대네트웍기술,조성익,분석,92176620,85.0,89.74,90.369,0.6645 (100.6645),11 2,2021/04/01 13:44:35,
23,1058164176,(주)신보파워텍,공민우,분석,92177600,85.0,89.741,90.37,0.6655 (100.6655),9 14,2021/04/02 08:47:08,
24,1328127945,부민통신 주식회사,박창욱,분석,92180557,85.0,89.744,90.373,0.6688 (100.6688),8 1,2021/03/31 15:29:24,
25,1138151895,주식회사 온리정보통신,김서규,분석,92194750,85.0,89.758,90.387,0.6843 (100.6843),15 2,2021/04/01 17:37:21,
26,2078129117,경우전기(주),김한정,분석,92196540,85.0,89.76,90.388,0.6862 (100.6862),11 4,2021/04/02 09:34:14,
27,1138132447,태진정보통신(주),정태수,분석,92204274,85.0,89.768,90.396,0.6947 (100.6947),3 1,2021/03/31 09:14:54,
28,5878600398,주식회사 엑사엔시스,김준용,분석,92211219,85.0,89.775,90.403,0.7022 (100.7022),5 11,2021/03/31 08:02:40,
29,2148687288,(주)포어링크,송기봉,분석,92212025,85.0,89.776,90.403,0.7031 (100.7031),4 6,2021/04/01 07:45:16,
