순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1138141835,주식회사 고려티에스아이  [최종낙찰],이중석,분석,272097700,75.0,87.745,87.299,-0.50721 (99.49279),15 11,2018/12/03 11:04:41,
2,2148626637,(주)아이엔지시스템,김정화,분석,272098450,75.0,87.745,87.3,-0.50693 (99.49307),11 7,2018/12/05 08:27:49,
3,2248138678,메가일렉주식회사,이경화,분석,272113020,75.0,87.749,87.304,-0.50160 (99.4984),12 14,2018/12/04 23:05:58,
4,2078124989,청보음향(주),지한영,분석,272113840,75.0,87.75,87.305,-0.50130 (99.4987),1 7,2018/12/03 18:45:30,
5,2198107469,하나이앤지 주식회사,이명우,분석,272114110,75.0,87.75,87.305,-0.50121 (99.49879),9 7,2018/12/04 10:21:04,
6,2048137258,대신엔에스(주),정동진,분석,272114300,75.0,87.75,87.305,-0.50114 (99.49886),2 12,2018/12/04 14:38:15,
7,2048124559,(주)대용와트스,남상태,분석,272114660,75.0,87.75,87.305,-0.50100 (99.499),2 7,2018/12/04 09:57:03,
8,1228615184,유피이엔씨 주식회사,박정선,분석,272115210,75.0,87.75,87.305,-0.50080 (99.4992),8 2,2018/12/03 20:08:00,
9,1098162433,광명정보통신(주),김형준,분석,272117500,75.0,87.751,87.306,-0.49997 (99.50003),6 14,2018/12/04 08:58:54,
10,6878100785,롯데정보통신 주식회사,마용득,분석,272118761,75.0,87.751,87.306,-0.49951 (99.50049),7 4,2018/11/29 10:26:52,
11,1372097125,천호정보통신,백종현,분석,272120949,75.0,87.752,87.307,-0.49871 (99.50129),4 3,2018/12/04 09:43:29,
12,1358190388,주식회사창일,윤남숙,분석,272121222,75.0,87.752,87.307,-0.49861 (99.50139),13 5,2018/12/05 08:18:45,
13,1248127527,(주)경일,조민희,분석,272121500,75.0,87.752,87.307,-0.49850 (99.5015),15 4,2018/11/28 10:45:00,
14,2058800165,주식회사 진아이씨티,육명환,분석,272122900,75.0,87.753,87.308,-0.49799 (99.50201),7 6,2018/11/29 14:57:12,
15,4038141077,주식회사 송원이앤씨,이금미,분석,272123680,75.0,87.753,87.308,-0.49771 (99.50229),12 1,2018/12/03 16:49:30,
16,1308678405,주식회사 아이비테크,김영순,분석,272124231,75.0,87.753,87.308,-0.49751 (99.50249),7 15,2018/12/05 09:00:52,
17,2148188924,우민전기(주),이학표,분석,272129975,75.2,87.755,87.31,-0.49540 (99.5046),7 13,2018/12/05 09:18:05,
18,2158197106,주식회사통해,전용일,분석,272132120,75.2,87.756,87.31,-0.49462 (99.50538),1 8,2018/12/04 08:38:46,
19,1268670457,주식회사나래정보통신,강인구,분석,272136539,75.2,87.757,87.312,-0.49300 (99.507),4 13,2018/12/03 11:17:16,
