순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1138135425,(주)뉴넷팝  [최종낙찰],이경택,분석,211270167,85.0,87.749,87.672,-0.7739 (99.2261),10 3,2023/06/13 12:05:36,
2,1048198009,대신네트웍스주식회사,김태응,분석,211279517,85.0,87.753,87.676,-0.7695 (99.2305),14 12,2023/06/12 11:15:21,
3,1208742187,주식회사 미소아이티,김재욱,분석,211282431,85.0,87.754,87.677,-0.7682 (99.2318),12 3,2023/06/12 13:16:28,
4,2048133679,(주)뉴콤,배상열,분석,211296512,85.2,87.76,87.683,-0.7616 (99.2384),7 3,2023/06/12 10:44:11,
5,1088180573,다올정보기술주식회사,한숙기,분석,211307804,85.4,87.765,87.687,-0.7563 (99.2437),2 7,2023/06/12 16:38:17,
6,1088159691,(주)다우텔레콤,이영순,분석,211316777,85.4,87.769,87.691,-0.7521 (99.2479),3 12,2023/06/13 21:18:14,
7,1088152776,(주)레디아테크놀러지,안기일,분석,211329795,85.6,87.775,87.697,-0.7459 (99.2541),15 10,2023/06/12 09:41:54,
8,2208116823,주봉정보시스템(주),김봉기,분석,211335292,85.6,87.777,87.699,-0.7434 (99.2566),2 4,2023/06/12 16:09:54,
9,1088179663,주식회사 시큐뱅크,심재춘,분석,211335940,85.6,87.777,87.699,-0.7431 (99.2569),3 8,2023/06/13 09:47:50,
10,1078757203,주식회사 비에스파워,정병섭,분석,211351900,85.6,87.784,87.706,-0.7356 (99.2644),5 13,2023/06/13 22:57:06,
11,1098185343,주식회사 오티에스씨,이승환,분석,211354111,85.8,87.785,87.707,-0.7345 (99.2655),15 10,2023/06/14 14:56:21,
12,4538100144,주식회사 파란아이티,성기빈,분석,211358760,85.8,87.788,87.709,-0.7323 (99.2677),14 11,2023/06/12 14:28:10,
13,2198125754,알티엘산업 주식회사,이근태,분석,211359680,85.8,87.788,87.709,-0.7319 (99.2681),3 8,2023/06/13 03:01:15,
14,2208624819,(주)종성테크,임성규,분석,211376735,86.0,87.795,87.716,-0.7239 (99.2761),4 6,2023/06/12 15:29:22,
15,1081154276,영우정보통신,이영우,분석,211388178,86.0,87.8,87.721,-0.7185 (99.2815),15 8,2023/06/13 09:50:39,
16,1138170266,(주)리빙콘트롤,염규재,분석,211400629,86.2,87.806,87.726,-0.7127 (99.2873),11 12,2023/06/12 13:14:48,
17,1078658471,비케이앤파워컴 주식회사,김정훈,분석,211403220,86.2,87.807,87.727,-0.7115 (99.2885),11 6,2023/06/12 10:00:35,
18,1198618088,주식회사 하이넷 네트웍스,김동순,분석,211407481,86.2,87.809,87.729,-0.7094 (99.2906),15 12,2023/06/13 09:09:54,
19,1078167709,온세텔레콤(주),박준학,분석,211415100,86.2,87.812,87.732,-0.7059 (99.2941),6 12,2023/06/12 10:16:29,
20,1178188899,주식회사 시큐렉스,최영희,분석,211427921,86.4,87.818,87.737,-0.6998 (99.3002),14 13,2023/06/14 09:46:53,
21,2068164028,주식회사 이지비앤티,김한복,분석,211432500,86.4,87.82,87.739,-0.6977 (99.3023),13 8,2023/06/12 10:48:28,
22,1058606899,이화티티씨(주),이선정,분석,211443987,86.6,87.825,87.744,-0.6923 (99.3077),8 2,2023/06/13 17:43:13,
23,1138183325,주식회사금강전력,오영선,분석,211444260,86.6,87.825,87.744,-0.6922 (99.3078),14 2,2023/06/12 14:56:33,
24,1148633857,에스엠이엔지(주),이관휴,분석,211446715,86.6,87.826,87.745,-0.6910 (99.309),3 2,2023/06/13 08:32:36,
