순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2068111894,(주)아파트피아  [최종낙찰],곽복동,분석,149136540,85.0,87.747,87.758,0.01580 (100.0158),5 13,2016/04/08 14:45:56,
2,1178169252,엠에스온(주),이경미,분석,149137580,85.0,87.748,87.759,0.01650 (100.0165),4 11,2016/04/12 09:35:40,
3,2101252831,유비아이티,김창갑,분석,149139675,85.0,87.749,87.76,0.01790 (100.0179),13 1,2016/04/11 17:16:12,
4,2148123348,성제전기(주),김팔성,분석,149144797,85.0,87.752,87.763,0.02134 (100.02134),4 6,2016/04/12 02:24:14,
5,2648122849,주식회사한양시큐리티,신동준,분석,149147570,85.0,87.753,87.765,0.02320 (100.0232),5 13,2016/04/11 18:06:54,
6,1028132281,현대씨앤알 주식회사,이성재,분석,149149000,85.0,87.754,87.766,0.02415 (100.02415),7 5,2016/04/11 09:42:46,
7,1208638328,주식회사 제이앤씨텔레콤,최경호,분석,149153980,85.2,87.757,87.769,0.02749 (100.02749),10 9,2016/04/11 11:24:55,
8,1358131171,(주)금성전기통신공사,김윤환,분석,149153990,85.2,87.757,87.769,0.02750 (100.0275),14 12,2016/04/08 10:18:34,
9,3058137395,우진씨아이 주식회사,권기춘,분석,149154132,85.2,87.757,87.769,0.02760 (100.0276),11 10,2016/04/12 11:27:08,
10,1108140593,(주)대건이엔씨,이황희,분석,149156630,85.2,87.759,87.77,0.02927 (100.02927),7 9,2016/04/11 18:23:18,
11,2158749469,(주)더블유에프텍,이영길,분석,149171820,85.4,87.768,87.779,0.03946 (100.03946),9 3,2016/04/06 18:46:16,
12,1188113673,동해정보통신 주식회사,이창원,분석,149174400,85.4,87.769,87.781,0.04119 (100.04119),10 1,2016/04/12 08:24:44,
13,1058169109,大朝電設 株式會社,장철호,분석,149174710,85.4,87.769,87.781,0.04140 (100.0414),5 15,2016/04/08 16:22:21,
14,2148731175,씨케이링크(주),최형수,분석,149176220,85.4,87.77,87.782,0.04241 (100.04241),9 15,2016/04/07 09:40:33,
15,1138189770,인콤아이에스(주),강점식,분석,149176650,85.4,87.771,87.782,0.04270 (100.0427),7 11,2016/04/11 17:53:41,
16,2158607273,(주)미주전통,장원식,분석,149182919,85.4,87.774,87.786,0.04690 (100.0469),6 12,2016/04/11 20:32:53,
17,1138633645,주식회사 와이넷,석지윤,분석,149183180,85.4,87.774,87.786,0.04708 (100.04708),12 2,2016/04/08 09:38:14,
18,1098613335,(주)준영시스템,임요웅,분석,149184551,85.6,87.775,87.787,0.04800 (100.048),12 9,2016/04/12 09:14:07,
